"Area","Item","Type","BaselineState","FinalState","Evidence","Notes"
"Platform","Users","Screen/API","PARTIAL","COMPLETE","src/web/src/pages/AdminPages.tsx; src/server/STS.Mfg.Api/Controllers/PlatformRuntimeControllers.cs","List/export/detail remain available; access-policy and reset endpoints added."
"Platform","Roles & Permissions","Screen/API","PARTIAL","COMPLETE","src/web/src/pages/AdminPages.tsx; src/server/STS.Mfg.Api/Controllers/PlatformRuntimeControllers.cs","Permission catalog plus create/update/clone endpoints added; visible unsupported actions stay disabled with reason."
"Platform","Audit Trail","Screen/API","PARTIAL","COMPLETE","src/web/src/pages/AdminPages.tsx; PlatformRuntimeService.ListAuditTrailAsync","Audit viewer has filter/search/export and centered detail workspace."
"Platform","Notifications","Screen/API","PARTIAL","COMPLETE","src/web/src/pages/PlatformPages.tsx; src/web/src/notifications/NotificationProvider.tsx","Live sessions do not fall back to demo rows on API failure."
"Platform","Approvals","Screen/API","PARTIAL","COMPLETE","src/web/src/pages/PlatformPages.tsx; PlatformRuntimeControllers.cs","Approval detail/history endpoint added; decision actions remain live-or-demo scoped."
"Platform","Attachments","Screen/API","PARTIAL","COMPLETE","src/server/STS.Mfg.Api/Controllers/AttachmentControllers.cs; tests/server/STS.Mfg.Tests/AttachmentAuthorizationTests.cs","Upload/preview/download remain under existing authorization and metadata flow."
"Platform","Translations","Screen/API","PARTIAL","COMPLETE","src/server/STS.Mfg.Api/Controllers/LocalizationController.cs; src/web/src/platform/platformAdminAdapters.ts","Resource upsert endpoint added and live API failures remain visible."
"Platform","Workflow & Numbering","Screen/API","PARTIAL","COMPLETE","src/server/STS.Mfg.Api/Controllers/PlatformRuntimeControllers.cs","Create/update workflow rule endpoint and audit writes added."
"Platform","Tenant Settings","Screen/API","PARTIAL","COMPLETE","src/server/STS.Mfg.Api/Controllers/PlatformRuntimeControllers.cs","Tenant setting update endpoint and audit writes added."
"Platform","Extensibility / UDF","Screen/API/DB","MISSING","COMPLETE","src/web/src/pages/PlatformExtensibilityPage.tsx; database/ddl/00-foundation/004_platform_extensibility_tables.sql","Additive UDF foundation, API, seed proof, and governed screen added."
