ScreenName,FilePath,Domain,Platform,ActionBarIssue Yes/No,FilterBarIssue Yes/No,GridAlignmentIssue Yes/No,ModalEditorIssue Yes/No,ValidationSummaryIssue Yes/No,LookupControlIssue Yes/No,FreeTextMasterFieldIssue Yes/No,DeadActionIssue Yes/No,EmptyPanelIssue Yes/No,InternalCopyIssue Yes/No,Severity CRITICAL/HIGH/MEDIUM/LOW,RecommendedFixWave,Notes
LoginPage,src/web/src/pages/LoginPage.tsx,Platform,Web,No,No,No,No,No,No,No,No,No,No,LOW,Wave UX follow-up,Login was corrected in Wave 1
ForgotPasswordPage,src/web/src/pages/PlatformPages.tsx,Platform,Web,No,No,No,No,No,No,No,No,No,No,LOW,Wave UX follow-up,Recovery route is business-facing
ContextSwitchPage,src/web/src/pages/PlatformPages.tsx,Platform,Web,Yes,No,No,No,No,No,No,No,No,No,MEDIUM,Wave Platform UX,Toolbar should adopt ErpActionBar
NotificationInboxPage,src/web/src/pages/PlatformPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,HIGH,Wave Platform UX,Notification actions need governed grouping
ApprovalWorkbenchPage,src/web/src/pages/PlatformPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Platform UX,Approval workbench needs action gating and lookup controls
UserManagementPage,src/web/src/pages/AdminPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Platform UX,User and role selectors need governed controls
RolePermissionMatrixPage,src/web/src/pages/AdminPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Platform UX,Permission matrix needs compact grid and disabled action reasons
DashboardHomePage,src/web/src/pages/DashboardPages.tsx,Dashboard,Web,No,No,No,No,No,No,No,No,No,No,LOW,Wave UX follow-up,Dashboard was visually corrected in Wave 1A
OrderDeliveryDashboardPage,src/web/src/pages/DashboardPages.tsx,Dashboard,Web,Yes,Yes,Yes,No,No,No,No,No,Yes,No,MEDIUM,Wave Dashboard UX,Dashboard cards need compact empty states and chip alignment
StageWiseDashboardPage,src/web/src/pages/DashboardPages.tsx,Dashboard,Web,Yes,Yes,Yes,No,No,No,No,No,Yes,No,MEDIUM,Wave Dashboard UX,Stage panels need density pass
ExecutiveCockpitPage,src/web/src/pages/DashboardPages.tsx,Dashboard,Web,Yes,Yes,Yes,No,No,No,No,No,Yes,No,MEDIUM,Wave Dashboard UX,Cockpit needs governed KPIs and empty states
CompanyMasterPage,src/web/src/pages/OrganizationPages.tsx,Organization,Web,No,No,No,Yes,Yes,Yes,Yes,No,No,No,MEDIUM,Wave Organization UX,Action filter and grid were piloted; drawer fields still need lookup conversion
BranchMasterPage,src/web/src/pages/OrganizationPages.tsx,Organization,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Organization UX,Branch selectors and disabled actions need governance
DepartmentMasterPage,src/web/src/pages/OrganizationPages.tsx,Organization,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Organization UX,Department type and manager fields need lookups
WarehouseMasterPage,src/web/src/pages/OrganizationPages.tsx,Organization,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Organization UX,Warehouse type and branch linked controls need lookups
BinMasterPage,src/web/src/pages/OrganizationPages.tsx,Organization,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Organization UX,Bin warehouse and status controls need governed lookup behavior
ShiftCalendarPage,src/web/src/pages/OrganizationPages.tsx,Organization,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,MEDIUM,Wave Organization UX,Calendar profile should be a lookup
ItemGroupMasterPage,src/web/src/pages/ItemMasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Master Data UX,Group setup drawer still uses free text
ItemAttributeMasterPage,src/web/src/pages/ItemMasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Master Data UX,Attribute setup actions and editor need governance
ReasonCodeRulesPage,src/web/src/pages/ItemMasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Master Data UX,Reason-code editor needs controlled fields
ItemListPage,src/web/src/pages/ItemMasterPages.tsx,Master Data,Web,No,No,No,No,No,No,No,No,No,No,LOW,Wave 4A follow-up,Global UI components applied as pilot
ItemVariantMatrixPage,src/web/src/pages/ItemMasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Master Data UX,Variant setup still uses legacy patterns
BarcodeLabelSetupPage,src/web/src/pages/ItemMasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Master Data UX,Barcode setup should use governed lookups
ItemDirectoryPage,src/web/src/pages/MasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Master Data UX,Directory pages need global component adoption
CustomerDirectoryPage,src/web/src/pages/MasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Customer UX,Customer directory needs governed grid and lookup controls
SupplierDirectoryPage,src/web/src/pages/MasterPages.tsx,Master Data,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Supplier UX,Supplier directory needs governed grid and lookup controls
TranslationSetupPage,src/web/src/pages/MasterPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,MEDIUM,Wave Platform UX,Translation editor needs compact action and validation patterns
WorkflowNumberingPage,src/web/src/pages/MasterPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,HIGH,Wave Platform UX,Numbering and workflow fields need controlled selects
TenantSettingsPage,src/web/src/pages/MasterPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,MEDIUM,Wave Platform UX,Tenant settings needs governed action grouping
PlatformSettingsPage,src/web/src/pages/MasterPages.tsx,Platform,Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,MEDIUM,Wave Platform UX,Settings panels need compact validation and dead action gating
