"RequirementId","V2Requirement","Implemented","Screen(s)","API(s)","DB Objects","Missing Pieces"
"V2-PLAT-001","Login, refresh, current user, and stale-session handling","PARTIAL","W001 Login; M001 Mobile Login","/api/auth/login; /api/auth/refresh; /api/auth/me","Bootstrap identity; platform user/role mirror","Production session/device trust hardening; stale-token edge proof; mobile device binding"
"V2-PLAT-002","Forgot password and reset flow","PARTIAL","W002 Forgot Password / Reset","/api/auth/forgot-password","Password recovery request tables","Reset completion workflow; provider delivery; audit and expiry proof"
"V2-PLAT-003","Company, branch, and warehouse context switching","PARTIAL","W003 Context Switch; M002 Mobile Context Switch","/api/auth/switch-context; /api/companies; /api/branches; /api/warehouses","Organization, warehouse, branch scope tables","Warehouse preference persistence; mobile queue guard; UAT warehouse endpoint repair"
"V2-PLAT-004","Role home dashboard and task composition","PARTIAL","W004 Role Home Dashboard; M003 My Dashboard","/api/dashboards/*; /api/notifications; /api/approvals","Dashboard read models; notification; approval tables","Role-specific live task composition; realistic seeded task data; mobile task API"
"V2-PLAT-005","Global search across ERP records","NO","W005 Global Search","/api/search","Search index/read model missing","No web route, no API, no index/read model"
"V2-PLAT-006","Notification center","PARTIAL","W006 Notification Center; M004 Notifications","/api/notifications","Notification inbox/outbox tables","Provider delivery integration; mobile sync/decision behavior"
"V2-PLAT-007","Approval workbench and approval decisions","PARTIAL","W007 Approval Workbench; M005 My Approvals","/api/approvals","Approval workbench/history tables","Workflow depth, comments, delegation, conflict handling, full audit"
"V2-PLAT-008","User management","PARTIAL","W008 User Management","/api/users","Platform user, role, permission mirror tables","Full user write lifecycle, device/MFA, activation/deactivation dependency rules"
"V2-PLAT-009","Role and permission matrix","PARTIAL","W009 Role & Permission Matrix","/api/roles","Permission and role tables","Action/data/mobile scope granularity; least-privilege proof"
"V2-PLAT-010","Language and translation setup","PARTIAL","W010 Language & Translation Setup","/api/localization/resources","Localization/resource tables","Review/publish workflow; translation assistant UI"
"V2-PLAT-011","Workflow and numbering setup","PARTIAL","W011 Numbering / Workflow Setup","/api/settings/workflow-rules","Workflow and numbering tables","Concurrency-safe numbering; versioned workflow; transition governance"
"V2-PLAT-012","Tenant settings and feature flags","PARTIAL","W012 Tenant Settings; platform/settings","/api/settings/tenant-settings","Tenant setting tables","Write/publish model, audit/versioning, environment-safe settings"
"V2-PLAT-013","Audit trail viewer","NO","W115 Audit Trail Viewer","/api/audit","Audit write tables partial","No first-class audit viewer API/UI; least-privilege tests missing"
"V2-ORG-001","Company master","PARTIAL","W020 Company Master","/api/companies","Company tables","Legal/contact/calendar depth; activation dependency rules"
"V2-ORG-002","Branch master","PARTIAL","W021 Branch Master","/api/branches","Branch tables","Default warehouse/contact/calendar depth"
"V2-ORG-003","Department master","PARTIAL","W022 Department Master","/api/departments","Department tables","Manager/user mapping and deactivation rules"
"V2-ORG-004","Warehouse master","BLOCKED","W023 Warehouse Master","/api/warehouses","Warehouse tables","UAT recorded HTTP 500; policy/capacity depth incomplete"
"V2-ORG-005","Bin master","PARTIAL","W024 Bin Master","/api/bins","Bin tables","Barcode/capacity/hierarchy and transaction dependency rules"
"V2-ORG-006","Shift calendar","PARTIAL","W025 Shift Calendar","/api/shifts","Shift/calendar tables","Exception lifecycle, cross-midnight proof, publish/versioning"
"V2-RES-001","Work center master","PARTIAL","W026 Work Center Master","/api/work-centers","Resource/work center tables","Backend exists but web route missing; capacity and activation depth incomplete"
"V2-RES-002","Machine master","PARTIAL","W027 Machine Master","/api/machines","Machine/resource tables","Backend exists but web route missing; status/calendar/dependency depth incomplete"
"V2-RES-003","Tool, die, and mould master","PARTIAL","W028 Tool / Die / Mould Master","/api/tools","Tool/resource tables","Backend exists but web route missing; maintenance/assignment depth incomplete"
"V2-MEAS-001","UOM classes","PARTIAL","W029 UOM Class Master","/api/uom/classes","UOM class tables","Dependency blockers and activation rules shallow"
"V2-MEAS-002","UOM conversions and formulas","PARTIAL","W030 UOM Conversion Master","/api/uom/conversions","Conversion tables","Formula validation and item impact audit incomplete"
"V2-MEAS-003","Measurement profiles and catch-weight/dimensional behavior","PARTIAL","W031 Measurement Profile Master","/api/measurement-profiles; /api/measurement-formulas","Measurement profile/formula tables","Catch-weight, dimensional formula, and downstream item tracking proof incomplete"
"V2-MASTER-001","Item group/category and item attributes","PARTIAL","W032 Item Group; W033 Item Attribute","Partial item/master APIs","Item group, attribute, default/rule tables","Dedicated lifecycle APIs, defaults, required attributes, variant rules"
"V2-MASTER-002","Reason codes and status rules","PARTIAL","W034 Reason Codes","Partial settings/reason APIs","Reason/status rule tables","Transaction integration and status rule enforcement"
"V2-MASTER-003","Item list and deep item editor","PARTIAL","W040 Item List; W041 Item Detail","/api/items; item extension APIs","Item V2 extension tables","Many V2 tabs remain incomplete; activation blockers and transaction readiness not fully proven"
"V2-MASTER-004","Item variants, aliases, barcodes, labels","PARTIAL","W042 Item Variant Matrix; W043 Barcode / Label Setup","/api/item-variants; /api/item-barcodes","Variant, barcode, alias, label tables partial","Template inheritance, scan rules, labels, barcode uniqueness proof"
"V2-MASTER-005","Item media, catalog, packaging, specs, documents","PARTIAL","W041 Item Detail; W049 Attachment Viewer","/api/items; /api/attachments","Item media/catalog/packaging/spec/document tables","Document control, media lifecycle, preview/download authorization, publish workflow"
"V2-PARTNER-001","Customer list/detail with sites, contacts, terms, credit, docs","PARTIAL","W044 Customer List; W045 Customer Detail","/api/customers","Customer and partner extension tables","UAT customer endpoint failure recorded; credit/sites/contacts/terms/docs not pilot-depth"
"V2-PARTNER-002","Supplier list/detail with sites, contacts, terms, compliance, docs","PARTIAL","W046 Supplier List; W047 Supplier Detail","/api/suppliers","Supplier and partner extension tables","UAT supplier endpoint failure recorded; compliance/performance/terms/docs not pilot-depth"
