"ScreenId","ScreenName","Route","FilePath","Domain","Platform","PrimaryRoles","CurrentStatus","DataStatus","BackendStatus","DbStatus","MajorGaps","RequiredReworkLevel","Priority","SuggestedImplementationWave","AcceptanceGate"
"W001","Login","/login","src/web/src/pages/LoginPage.tsx","Platform","Web","All users","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Must be production-grade with no internal copy and clean stale-token handling","DEEP","CRITICAL","Wave 1","Login succeeds without stale-token friction and no dev copy is visible"
"W002","Forgot Password / Reset","/forgot-password","src/web/src/pages/PlatformPages.tsx","Platform","Web","All users","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Recovery request exists but full reset/provider lifecycle is incomplete","MEDIUM","CRITICAL","Wave 1","Recovery page is production-safe and does not expose account enumeration"
"W003","Company / Branch / Warehouse Switch","/platform/context-switch","src/web/src/pages/PlatformPages.tsx","Platform","Web","All users","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Header/context UX needs compact non-overlapping layout and warehouse server preference","MEDIUM","HIGH","Wave 1","Context switches cleanly and header controls do not overlap"
"W004","Role Home Dashboard","/","src/web/src/pages/DashboardPages.tsx","Dashboards","Web","All roles","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Role actions and KPI drilldowns are not deep enough","MEDIUM","HIGH","Wave 1","Each role sees live actionable cards with no dead links"
"W005","Global Search","/search","MISSING","Platform","Web","All roles","MISSING","UNKNOWN","BLOCKED BY BACKEND","MISSING","No global search route or indexed cross-domain search contract","REBUILD","CRITICAL","Wave 1","Search finds orders items BOMs WOs job cards lots customers with permission filtering"
"W006","Notification Center","/platform/notifications","src/web/src/pages/PlatformPages.tsx","Platform","Web","All roles","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Delivery channels and source drilldowns are shallow","MEDIUM","HIGH","Wave 2","Notifications link to real source records and decisions"
"W007","Approval Workbench","/platform/approvals","src/web/src/pages/PlatformPages.tsx","Platform","Web","Managers","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Approval workflow depth comments delegation and audit need completion","DEEP","HIGH","Wave 2","Every decision is role-checked and audited"
"W008","User Management","/platform/users","src/web/src/pages/AdminPages.tsx","Platform","Web","PlatformAdmin; CompanyAdmin","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Write lifecycle device access MFA recovery and all-menu super admin seed are incomplete","DEEP","CRITICAL","Wave 2","Super Admin and user lifecycle are deliberate audited and role-scoped"
"W009","Role & Permission Matrix","/platform/roles","src/web/src/pages/AdminPages.tsx","Platform","Web","PlatformAdmin; CompanyAdmin","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Needs action/data/mobile permission depth and no admin lockout rule","DEEP","CRITICAL","Wave 2","Menu and actions are governed by explicit permissions"
"W010","Language & Translation Setup","/platform/language","src/web/src/pages/MasterPages.tsx","Platform","Web","PlatformAdmin; CompanyAdmin","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Localization lifecycle and global language UI need cleanup","MEDIUM","MEDIUM","Wave 2","Admin can manage resources without oversized header language control"
"W011","Numbering / Workflow Setup","/platform/workflow-numbering","src/web/src/pages/MasterPages.tsx","Platform","Web","CompanyAdmin","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Workflow versioning status transitions and numbering concurrency are shallow","DEEP","CRITICAL","Wave 2","Document series and workflow transitions are safe and auditable"
"W012","Feature Flags & Tenant Settings","/platform/tenant-settings","src/web/src/pages/MasterPages.tsx","Platform","Web","PlatformAdmin","SHALLOW","PARTIAL","PARTIAL API BACKED","PARTIAL","Settings writes publish model and module hiding need depth","MEDIUM","HIGH","Wave 2","Tenant settings save with audit and production-safe visibility"
"W020","Company Master","/organization/companies","src/web/src/pages/OrganizationPages.tsx","Organization","Web","CompanyAdmin","SHALLOW","LIVE","LIVE API BACKED","EXISTS","Legal contacts calendar and audit depth are shallow","MEDIUM","HIGH","Wave 3","Company supports context audit and downstream setup"
