"Domain","Screen/Feature","Route or API","CurrentState","UIState","BackendState","DBState","ActionTruthState","Notes"
"Platform","Login","/login; /api/auth/login","PARTIAL","Web route exists; production copy improved; mobile still demo-like","Partial API backed","Partial bootstrap identity and role mirror","Partial","Usable internally; needs stale-session/device/session hardening"
"Platform","Forgot Password / Reset","/forgot-password; /api/auth/forgot-password","PARTIAL","Route exists but reset depth shallow","Partial API backed","Partial reset/provider tables","Partial","Provider delivery and full reset lifecycle incomplete"
"Platform","Context Switch","/platform/context-switch; /api/auth/switch-context","PARTIAL","Route exists","Live API backed except warehouse preference depth","Exists/partial","Partial","Company/branch context works; warehouse context and mobile queue guard need depth"
"Platform","Notification Center","/platform/notifications; /api/notifications","PARTIAL","Route exists","Live API backed","Exists","Partial","Provider delivery and mobile sync remain incomplete"
"Platform","Approval Workbench","/platform/approvals; /api/approvals","PARTIAL","Route exists","Live API backed","Partial","Partial","Approval depth, comments, delegation, and audit trail incomplete"
"Platform","User Management","/platform/users; /api/users","PARTIAL","Route exists; many actions disabled","Partial API backed","Partial","Many disabled with reason","Invite/reset/export/custom role actions disabled"
"Platform","Role And Permission Matrix","/platform/roles; /api/roles","PARTIAL","Route exists; many actions disabled","Partial API backed","Partial","Many disabled with reason","Action/data/mobile scope and permission lifecycle incomplete"
"Platform","Language And Translation Setup","/platform/translations; /api/localization/resources","PARTIAL","Route exists","Partial API backed","Partial","Partial","Publish/review workflow and AI translation review incomplete"
"Platform","Workflow And Numbering Setup","/platform/workflow-numbering; /api/settings/workflow-rules","PARTIAL","Route exists; write actions shallow","Partial API backed","Partial","Disabled where not safe","Concurrency-safe numbering and workflow versioning incomplete"
"Platform","Tenant Settings","/platform/tenant-settings; /api/settings/tenant-settings","PARTIAL","Route exists","Partial API backed","Partial","Partial","Write/publish/audit model incomplete"
"Platform","Platform Settings","/platform/settings","PARTIAL","Route exists","Partial API backed","Partial","Partial","Operational settings are not release-complete"
"Platform","Attachment Viewer","/platform/attachments; /api/attachments","DEMO-ONLY","Route exists but document lifecycle is demo-like","Partial/fallback backed","Partial/missing document-control depth","Disabled where unsafe","Needs versioning, media proof, preview/download authorization, audit"
"Platform","Global Search","/search; /api/search","MISSING","No route","No API","Missing search index/read model","Not mapped","Required W005 screen is missing"
"Platform","Audit Trail Viewer","/platform/audit; /api/audit","MISSING","No route","No first-class API","Audit write exists but read model incomplete","Not mapped","Pilot blocker for traceability and security review"
"Platform","Health Checks","/api/health/live; /api/health/ready","COMPLETE","No dedicated screen required","Live endpoints exist","N/A","N/A","Smoke report shows health endpoints pass"
"Organization","Company Master","/organization/companies; /api/companies","PARTIAL","Route exists; shallow setup page","Live API backed","Partial","Large action set disabled with reason","Legal/contact/calendar/dependency depth incomplete"
"Organization","Branch Master","/organization/branches; /api/branches","PARTIAL","Route exists; shallow setup page","Live API backed","Partial","Partial","Default warehouse/contact/calendar depth incomplete"
"Organization","Department Master","/organization/departments; /api/departments","PARTIAL","Route exists","Live API backed","Exists","Partial","Manager/user mapping and deactivation rules incomplete"
"Organization","Warehouse Master","/organization/warehouses; /api/warehouses","PARTIAL","Route exists","Live API backed; LONG-RUN-01 runtime probe returned HTTP 200","Partial","Partial","Runtime endpoint repaired; warehouse policy/capacity/deactivate depth remains before UAT"
"Organization","Bin Master","/organization/bins; /api/bins","PARTIAL","Route exists","Live API backed","Exists/partial","Partial","Barcode/capacity/hierarchy and dependency rules incomplete"
"Organization","Shift Calendar","/organization/shifts; /api/shifts","PARTIAL","Route exists","Live API backed","Partial","Partial","Exception/publish lifecycle and cross-midnight proof incomplete"
"Resources","Work Center Master","/resources/work-centers; /api/work-centers","MISSING","No web route","API exists","Partial","Not mapped","Resource setup UI missing; routing/capacity reliability affected"
"Resources","Machine Master","/resources/machines; /api/machines","MISSING","No web route","API exists","Partial","Not mapped","Machine setup UI missing; board/status/capacity reliability affected"
"Resources","Tool / Die / Mould Master","/resources/tools; /api/tools","MISSING","No web route","API exists","Partial","Not mapped","Tool/resource setup UI missing"
"Measurements","UOM Class Master","/measurements/uom-classes; /api/uom/classes","PARTIAL","Route exists","Live API backed","Exists","One action disabled with reason","Dependency blockers shallow"
"Measurements","UOM Conversion Master","/measurements/uom-conversions; /api/uom/conversions","PARTIAL","Route exists","Live API backed","Partial","Partial","Formula validation and downstream item impact incomplete"
"Measurements","Measurement Profile Master","/measurements/profiles; /api/measurement-profiles","PARTIAL","Route exists","Live API backed","Partial","Partial","Catch-weight and dimensional behavior not fully proven"
"Master Data","Item Group / Category Master","/masters/item-groups","PARTIAL","Route exists; shallow/fallback","Partial API backed","Partial","Several disabled with reason","Defaults, required attributes, hierarchy governance incomplete"
"Master Data","Item Attribute Master","/masters/item-attributes","PARTIAL","Route exists; shallow/fallback","Partial API backed","Partial","Partial","Data types, allowed values, required-by-category, variant dimensions incomplete"
"Master Data","Reason Codes & Status Rules","/masters/reason-codes","PARTIAL","Route exists; shallow/fallback","Partial API backed","Partial","Partial","Reason/status rule transaction integration incomplete"
"Master Data","Item List","/masters/items; /api/items","DEMO-ONLY","Route exists; demo-like depth","Live/partial API backed","Partial V2 extensions","Many disabled with reason","Not V2-complete for pilot item governance"
"Master Data","Item Detail / Editor","/masters/items; /api/items","DEMO-ONLY","Deepened but still not full V2 ERP editor","Partial API backed","Partial V2 extensions","Many disabled with reason","Missing full lifecycle across media/catalog/UOM/packaging/specs/policies/docs/audit"
"Master Data","Item Variant Matrix","/masters/item-variants; /api/item-variants","PARTIAL","Route exists","Live API backed","Partial","Partial","Template inheritance and duplicate/alias governance incomplete"
"Master Data","Barcode / Label Setup","/masters/barcodes; /api/item-barcodes","PARTIAL","Route exists","Live API backed","Partial","Partial","Label templates and scan rules incomplete"
"Partners","Customer List","/partners/customers; /api/customers","PARTIAL","Route exists; demo-like","Live API backed; LONG-RUN-01 runtime probe returned HTTP 200","Partial V2 partner tables","Disabled where unsafe","Runtime endpoint repaired; credit/site/contact/document readiness depth remains incomplete"
"Partners","Customer Detail","/partners/customers; /api/customers","PARTIAL","Route exists; demo-like","Partial API backed; list/detail runtime reads no longer blocked","Partial","Disabled where unsafe","Sites, contacts, credit, terms, docs, preferences incomplete"
"Partners","Supplier List","/partners/suppliers; /api/suppliers","PARTIAL","Route exists; demo-like","Live API backed; LONG-RUN-01 runtime probe returned HTTP 200","Partial V2 partner tables","Disabled where unsafe","Runtime endpoint repaired; compliance/site/contact/performance readiness depth remains incomplete"
"Partners","Supplier Detail","/partners/suppliers; /api/suppliers","PARTIAL","Route exists; demo-like","Partial API backed; list/detail runtime reads no longer blocked","Partial","Disabled where unsafe","Sites, contacts, terms, compliance, docs incomplete"
"Partners","Supplier Lead Time Matrix","/partners/supplier-lead-times; /api/supplier-lead-times","PARTIAL","Route exists; many actions disabled","Live API backed","Partial","Many disabled with reason","Versioning/effective dates/reliability and MRP sourcing integration incomplete"
"Commercial","Price Lists","/commercial/price-lists; commercial APIs","PARTIAL","Route exists; action-limited","API exists","Commercial tables exist/partial","Many disabled with reason","Approval/effective date enforcement and transaction use incomplete"
"Commercial","Discount Schemes","/commercial/discount-schemes; commercial APIs","PARTIAL","Route exists","API exists","Commercial tables exist/partial","Partial","Discount eligibility/approval and sales integration incomplete"
"Commercial","Tax, Currency, Terms","/commercial/tax-currency-terms; commercial APIs","PARTIAL","Route exists","API exists","Commercial tables exist/partial","Partial","Exchange-rate, tax rule, and transaction enforcement incomplete"
"Sales","Quote / Estimate","/sales/quotes; /api/quotes","PARTIAL","Route exists; shallow","Live API backed","Partial","Many quote actions disabled via related matrix","Line pricing, attachments, conversion, approval incomplete"
"Sales","Sales Orders","/sales/orders; /api/sales-orders","PARTIAL","Route exists; shallow","Live API backed","Partial","Many order actions disabled via related matrix","Commercial enforcement, line specs, stage readiness, downstream conversion incomplete"
"Sales","Blanket Orders","/sales/blanket-orders; /api/blanket-orders","PARTIAL","Route exists; shallow","Live API backed","Partial","Disabled where unsafe","Release schedule and lifecycle incomplete"
"Sales","Demand Forecast","/sales/forecasts; /api/forecasts","PARTIAL","Route exists; shallow","Live API backed","Partial","Disabled where unsafe","Import/version/consumption incomplete"
