"ScreenName","Route","FilePath","Domain","HasHelpEntry","HasTabHelp","HasCreateAction","HasEditAction","HasSaveAction","HelpStatus","Notes"
"Login","/login","src/web/src/pages/LoginPage.tsx","Platform","Yes","No","No","No","No","Implemented","Screen help available from page header."
"Forgot Password","/forgot-password","src/web/src/pages/PlatformPages.tsx","Platform","Yes","No","No","No","No","Implemented","Screen help available from page header."
"Home Dashboard","/","src/web/src/pages/DashboardPages.tsx","Dashboards","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Order Delivery","/dashboards/order-delivery","src/web/src/pages/DashboardPages.tsx","Dashboards","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Stage Wise","/dashboards/stage-wise","src/web/src/pages/DashboardPages.tsx","Dashboards","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Executive Cockpit","/dashboards/executive-cockpit","src/web/src/pages/DashboardPages.tsx","Dashboards","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"BOM Library","/engineering/boms","src/web/src/pages/EngineeringPages.tsx","Engineering","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"BOM Editor","/engineering/bom-editor","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","No","Yes","No","Implemented","Screen help and selected-tab help available in modal workspace."
"BOM Comparison","/engineering/bom-comparison","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"ECO Control","/engineering/eco-revisions","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","No","No","Yes","No","Implemented","Screen help available from page header."
"Routings","/engineering/routings","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","Yes","Yes","Yes","Implemented","Screen help and selected-tab help available in modal workspace."
"Operation Standards","/engineering/operations","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Alternate Items","/engineering/alternate-items","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
"Engineering Documents","/engineering/documents","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","No","Yes","Yes","Yes","Implemented","Screen help available from page header."
