"Entity","FieldName","BusinessLabel","DataType","ControlType","LookupSource","Required","Precision/Scale","Unit","AllowFreeText","ActionTruthDependency","Notes"
"Item","code","Item code","string","Text","","Yes","","","Yes","Save item draft","Identifier text is business-entered."
"Item","name","Item name","string","Text","","Yes","","","Yes","Save item draft","Narrative master name."
"Item","itemType","Item type","string","Lookup","Item type status list","Yes","","","No","Save item draft","Controlled setup value."
"Item","itemGroupId","Item group/category","int","Lookup","Item Group / Category Master","Yes","","","No","Save item draft","Must preserve ID where available."
"ChartOfAccount","accountCode","Account code","string","Text","","Yes","","","Yes","Save Account","Business-entered unique account code by company."
"ChartOfAccount","accountClass","Account class","string","Lookup","Finance account class list","Yes","","","No","Save Account","Asset/Liability/Equity/Revenue/Expense/Contra governed selector."
"ChartOfAccount","normalBalance","Normal balance","string","Lookup","Finance normal balance list","Yes","","","No","Save Account","Debit/Credit governed selector."
"ChartOfAccount","isPostingAllowed","Posting allowed","boolean","Checkbox","","Yes","","","No","Save Account","Blocks posting to parent/control accounts."
"FiscalPeriod","fiscalYear","Fiscal year","int","Number","","Yes","","","No","Save Period","Typed numeric control and server validation."
"FiscalPeriod","periodNo","Period number","int","Number","","Yes","","","No","Save Period","Typed numeric control and server validation."
"FiscalPeriod","status","Period status","string","Lookup","Open/Soft Closed/Closed/Locked","Yes","","","No","Save Period","Posting service blocks closed or locked periods."
"FinancePostingProfile","postingKey","Posting key","string","Lookup","Finance posting-key list","Yes","","","No","Save Posting Profile","Determines AP/AR/tax posting profile resolution."
"FinancePostingProfile","debitAccountId","Debit account","long","Lookup","ChartOfAccounts","Yes","","","No","Save Posting Profile","Must be active posting account."
"FinancePostingProfile","creditAccountId","Credit account","long","Lookup","ChartOfAccounts","Yes","","","No","Save Posting Profile","Must be active posting account."
"GeneralLedgerJournal","postingDate","Posting date","date","Date","","Yes","","","No","Save Journal","Fiscal period validation applies server-side."
"GeneralLedgerJournalLine","accountId","Posting account","long","Lookup","ChartOfAccounts","Yes","","","No","Save Journal","No hardcoded account string posting."
"GeneralLedgerJournalLine","debitAmount","Debit amount","decimal","Money","","Yes","18,2","Currency","No","Save Journal","Journal must balance before posting."
"GeneralLedgerJournalLine","creditAmount","Credit amount","decimal","Money","","Yes","18,2","Currency","No","Save Journal","Journal must balance before posting."
"AccountsReceivableInvoice","shipmentId","Shipment source","long","Number","Dispatch Shipment","Yes","","","No","Create AR Invoice","Server loads shipment and copies persisted dispatch/SO snapshot."
"AccountsReceivableInvoice","grandTotalAmount","Grand total snapshot","decimal","ReadOnly Money","","Yes","18,2","Currency","No","Post AR Invoice","Copied from persisted shipment/SO commercial snapshot."
"TaxLedgerEntry","taxAmount","Tax amount","decimal","ReadOnly Money","","Yes","18,2","Currency","No","Post AP/AR Invoice","Posted from document tax snapshot."
