PromptId,Phase,Title,NextPrompt,RelatedScreens
P000,Phase 0 - Start,"START HERE — operating rules, artifact map, and Codex workflow",P001,
P001,Phase 0 - Scope,Product guardrails and scope freeze,P002,
P002,Phase 0 - Repository,Repository and folder structure,P003,
P003,Phase 0 - Deployment,Server/web/mobile build chain and publish-to-IIS model,P004,
P004,Phase 0 - Design,Design language extraction from reference UI,P005,"W057_Order_Delivery_Dashboard.html, W108_Stage_Wise_Dashboard.html, W085_PPS_Machine_Occupancy_Calendar.html, W060_BOM_Management.html, W066_BOQ_Requirements.html, W080_Work_Orders.html, W082_Job_Cards.html, W084_Machine_Schedule_Board.html"
P005,Phase 0 - Domain,Domain glossary and status catalog,P006,
P006,Phase 0 - Security,Role matrix and data access model,P007,
P007,Phase 0 - Demo Data,Demo scenarios and seed storylines,P008,
P008,Phase 0 - Coding Standards,Coding standards and error/result contracts,P009,
P009,Phase 0 - Observability,Observability and audit strategy,P010,
P010,Phase 0 - Offline,Offline/mobile sync strategy,P011,
P011,Phase 0 - Baseline,Architecture baseline sign-off,P012,
P012,Phase 1 - Database,"Database naming, migration, and partitioning conventions",P013,
P013,Phase 1 - Database,"Company, branch, department, and shift schema",P014,
P014,Phase 1 - Database,Warehouse and bin schema,P015,
P015,Phase 1 - Database,"Language, translation, settings, numbering, and workflow schema",P016,
P016,Phase 1 - Database,"UOM classes, units, and conversion schema",P017,
P017,Phase 1 - Database,"Measurement profiles, formulas, and catch-weight schema",P018,
P018,Phase 1 - Database,"Item group, attribute, and item master schema",P019,
P019,Phase 1 - Database,"Item variants, barcodes, and item-UOM behavior schema",P020,
P020,Phase 1 - Database,Customer and address schema,P021,
P021,Phase 1 - Database,"Supplier, address, and lead-time schema",P022,
P022,Phase 1 - Database,"Work center, machine, and tooling schema",P023,
P023,Phase 1 - Database,Operation and routing schema,P024,
P024,Phase 1 - Database,BOM and revision schema,P025,
P025,Phase 1 - Database,Engineering changes and alternate item schema,P026,
P026,Phase 1 - Database,"Quote, sales order, blanket order, and forecast schema",P027,
P027,Phase 1 - Database,"MPS, MRP, and BOQ requirement schema",P028,
P028,Phase 1 - Database,"Purchase requisition, purchase order, and subcontract schema",P029,
P029,Phase 1 - Database,"Inventory, lots, serials, and stock ledger schema",P030,
P030,Phase 1 - Database,"Work order, job card, and shift handover schema",P031,
P031,Phase 1 - Database,"Quality, dispatch, notification, AI, and audit schema",P032,
P032,Phase 2 - SQL Logic,Master data validation views and helper functions,P033,
P033,Phase 2 - SQL Logic,MRP run logic and exception generation,P034,
P034,Phase 2 - SQL Logic,BOQ convert-to-PR-and-WO logic,P035,
P035,Phase 2 - SQL Logic,Capacity rebuild and overload logic,P036,
P036,Phase 2 - SQL Logic,Work order release and re-release logic,P037,
P037,Phase 2 - SQL Logic,"Job card create, assign, start, pause, and resume logic",P038,
P038,Phase 2 - SQL Logic,"Job card quantity, downtime, and complete logic",P039,
P039,Phase 2 - SQL Logic,"Stock issue, return, transfer, and reservation logic",P040,
P040,Phase 2 - SQL Logic,"Production receipt, scrap, and rework logic",P041,
P041,Phase 2 - SQL Logic,Machine board and occupancy queries,P042,
P042,Phase 2 - SQL Logic,Quality inspection save and hold/release logic,P043,
P043,Phase 2 - SQL Logic,"Order risk, stage-wise, and executive dashboard views",P044,
P044,Phase 3 - Backend,ASP.NET solution bootstrap,P045,
P045,Phase 3 - Backend,"Domain, application, and infrastructure base wiring",P046,
P046,Phase 3 - Backend,"Authentication, JWT, and context switching",P047,
P047,Phase 3 - Backend,Authorization policies and data scoping,P048,
P048,Phase 3 - Backend,"EF Core, Dapper, and stored procedure access pattern",P049,
P049,Phase 3 - Backend,"Validation, error handling, and API response envelope",P050,
P050,Phase 3 - Backend,Audit logging and attachment service,P051,
P051,Phase 3 - Backend,Notification outbox and background jobs,P052,
P052,Phase 3 - Backend,Localization and translation service,P053,
P053,Phase 3 - Backend,"Health checks, configuration, and secrets",P054,
P054,Phase 3 - Backend,Organization APIs,P055,
P055,Phase 3 - Backend,Measurement and item APIs,P056,
P056,Phase 3 - Backend,"Customer, supplier, and resource APIs",P057,
P057,Phase 3 - Backend,"BOM, routing, and ECO APIs",P058,
P058,Phase 3 - Backend,"Quote, sales order, and forecast APIs",P059,
P059,Phase 3 - Backend,"MPS, MRP, and BOQ APIs",P060,
P060,Phase 3 - Backend,Purchase and subcontract APIs,P061,
P061,Phase 3 - Backend,Inventory and traceability APIs,P062,
P062,Phase 3 - Backend,Work order APIs,P063,
P063,Phase 3 - Backend,Job card and downtime APIs,P064,
