"IssueId","Domain","Route","Screen","IssueClass","Severity","Status","FixApplied","RemainingDependency","Evidence"
"OFX-001","Platform","/platform/notifications","Notification inbox","Data truth","High","FIXED","Live authenticated API failure now renders unavailable state instead of seeded notifications","Notification delivery depth remains partial","src/web/src/notifications/NotificationProvider.tsx"
"OFX-002","Platform","/platform/approvals","Approval workbench","Data truth","High","FIXED","Live authenticated API failure no longer falls back to seeded approvals","Approval comments and delegation remain partial","src/web/src/platform/platformAdapters.ts"
"OFX-003","Commercial","/sales/quotes","Quote estimates","Action truth","High","FIXED","New quote draft now opens a centered governed workspace","Quote approval and conversion remain partial","src/web/src/pages/CommercialPlanningPages.tsx"
"OFX-004","Commercial","/sales/quotes","Quote estimates","Action truth","High","FIXED","Live valid quote drafts save through quote create/update APIs","Line pricing and approval depth remain partial","src/web/src/commercial/commercialPlanningAdapters.ts"
"WS02-001","Platform","/platform/extensibility","Extensibility","UDF foundation","High","FIXED","Added SQL UDF definition/value tables, platform API endpoints, and web definition workspace","Embedding UDF value panels into every future domain screen remains a later workstream","src/web/src/pages/PlatformExtensibilityPage.tsx; database/ddl/00-foundation/004_platform_extensibility_tables.sql"
"WS02-002","Platform","/platform/extensibility","Extensibility","Action truth","High","FIXED","New field opens a centered workspace; save is working when validation passes and disabled with reason otherwise","Bulk import remains disabled until approved import mapping exists","src/web/src/pages/PlatformExtensibilityPage.tsx"
"OFX-005","Partners","/partners/supplier-lead-times","Supplier lead times","Numeric truth","High","FIXED","Lead time days now renders as a disabled governed number control","Supplier lead-time write workflow remains partial","src/web/src/pages/CommercialPlanningPages.tsx"
"OFX-006","Inventory","/inventory/balances","Inventory balances","Field truth","Medium","FIXED","Lot and serial review value now renders as disabled governed lookup","Full trace selector remains partial","src/web/src/pages/InventoryPages.tsx"
"OFX-007","Inventory","/inventory/balances","Inventory balances","Field truth","Medium","FIXED","Catch-weight basis now renders as disabled governed lookup","Catch-weight decimal persistence remains partial","src/web/src/pages/InventoryPages.tsx"
"OFX-008","Commercial","/sales/blanket-orders","Blanket orders","Field truth","Medium","FIXED","Horizon now renders as disabled governed lookup","Editable horizon workflow remains partial","src/web/src/pages/CommercialPlanningPages.tsx"
"OFX-009","Commercial","/sales/blanket-orders","Blanket orders","Layout truth","Medium","FIXED","Next release no longer appears as a generic editable text field","Release calendar workflow remains partial","src/web/src/pages/CommercialPlanningPages.tsx"
"OFX-010","Planning","/planning/mps","MPS","Field truth","Medium","FIXED","Horizon now renders as disabled governed lookup","MPS edit workflow remains partial","src/web/src/pages/CommercialPlanningPages.tsx"
"OFX-011","Planning","/planning/mrp","MRP run console","Field truth","Medium","FIXED","Selected run planning horizon now renders as disabled governed lookup","Planning calendar source should bind API","src/web/src/pages/PlanningPages.tsx"
"OFX-012","Dashboards","/dashboards/order-delivery","Order delivery dashboard","Data truth","High","FIXED","Live dashboard failure now throws unavailable instead of seeded dashboard rows","Production SQL dashboard readiness remains to be validated","src/web/src/dashboards/dashboardAdapters.ts"
"OFX-013","Dashboards","/dashboards/stage-wise","Stage-wise dashboard","Data truth","High","FIXED","Live dashboard failure now throws unavailable instead of seeded dashboard rows","Production SQL dashboard readiness remains to be validated","src/web/src/dashboards/dashboardAdapters.ts"
"OFX-014","Dashboards","/dashboards/executive-cockpit","Executive cockpit","Data truth","High","FIXED","Live dashboard failure now throws unavailable instead of seeded dashboard rows","Production SQL dashboard readiness remains to be validated","src/web/src/dashboards/dashboardAdapters.ts"
"OFX-015","Master Data","/masters/items","Item master","Data truth","High","FIXED","Live item API failure now throws unavailable instead of seeded item rows","Page-specific error state can be improved","src/web/src/masters/masterDataAdapters.ts"
"OFX-016","Master Data","/masters/uom-classes","UOM classes","Data truth","High","FIXED","Live UOM class failure now throws unavailable instead of seeded setup rows","Activation dependency workflow remains partial","src/web/src/masters/masterDataAdapters.ts"
"OFX-017","Master Data","/masters/uom-conversions","UOM conversions","Data truth","High","FIXED","Live conversion failure now throws unavailable instead of seeded setup rows","Formula editor decimal migration remains partial","src/web/src/masters/masterDataAdapters.ts"
"OFX-018","Partners","/partners/customers","Customers","Data truth","High","FIXED","Live customer API failure now throws unavailable instead of seeded customer rows","Customer profile depth remains partial","src/web/src/masters/masterDataAdapters.ts"
"OFX-019","Partners","/partners/suppliers","Suppliers","Data truth","High","FIXED","Live supplier API failure now throws unavailable instead of seeded supplier rows","Supplier profile depth remains partial","src/web/src/masters/masterDataAdapters.ts"
"OFX-020","Organization","/organization/companies","Companies","Data truth","High","FIXED","Live company API failure now throws unavailable instead of seeded organization rows","Organization extension lookups remain partial","src/web/src/organization/organizationAdapters.ts"
"OFX-021","Organization","/organization/branches","Branches","Data truth","High","FIXED","Live branch API failure now throws unavailable instead of seeded organization rows","Branch policy lookups remain partial","src/web/src/organization/organizationAdapters.ts"
"OFX-022","Organization","/organization/departments","Departments","Data truth","High","FIXED","Live department API failure now throws unavailable instead of seeded organization rows","Manager lookup depth remains partial","src/web/src/organization/organizationAdapters.ts"
"OFX-023","Organization","/organization/warehouses","Warehouses","Data truth","High","FIXED","Live warehouse API failure now throws unavailable instead of seeded organization rows","Warehouse capacity depth remains partial","src/web/src/organization/organizationAdapters.ts"
"OFX-024","Organization","/organization/bins","Bins","Data truth","High","FIXED","Live bin API failure now throws unavailable instead of seeded organization rows","Bin hierarchy depth remains partial","src/web/src/organization/organizationAdapters.ts"
"OFX-025","Organization","/organization/shifts","Shifts","Data truth","High","FIXED","Live shift API failure now throws unavailable instead of seeded organization rows","Calendar versioning remains partial","src/web/src/organization/organizationAdapters.ts"
"OFX-026","Engineering","/engineering/bom-library","BOM library","Data truth","High","FIXED","Live BOM library failure now throws unavailable instead of seeded rows","Older BOM library authoring remains reference-only","src/web/src/engineering/engineeringAdapters.ts"
"OFX-027","Engineering","/engineering/bom-editor","BOM editor","Data truth","High","FIXED","Live BOM editor failure now throws unavailable instead of seeded rows","BOM draft workflow remains partial","src/web/src/engineering/engineeringContinuationAdapters.ts"
