"ScreenName","Route","ActionLabel","ActionType","CurrentState","ExpectedState","OpensWorkspace Yes/No","SaveState","ReasonIfDisabled","Notes"
"All implemented screens","*","Help","help","working","WORKING","Yes","N/A","","Opens grounded screen help from ListPageShell or ErpModalWorkspace."
"Help Center","/help","Ask","quick-help","working","WORKING","No","N/A","","Answers only from internal help content and returns a bounded not-available response."
"Item Groups","/masters/item-groups","New item group draft","new","working","WORKING","Yes","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Create workspace opens for inspection; persistence remains governed."
"Item Groups","/masters/item-groups","Save item group draft","save","disabled","DISABLED WITH REASON","N/A","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Save remains honest in create and detail workspace."
"Item Attributes","/masters/item-attributes","New attribute draft","new","working","WORKING","Yes","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Create workspace opens for inspection."
"Item Attributes","/masters/item-attributes","Save attribute draft","save","disabled","DISABLED WITH REASON","N/A","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Save remains honest in create and detail workspace."
"Item Attributes","/masters/item-attributes","Add allowed value","add","disabled","DISABLED WITH REASON","No","N/A","Allowed-value maintenance is disabled until value versioning and item-usage checks are enabled.","Business reason now explains why values cannot be edited yet."
"Reason Codes","/masters/reason-codes","New reason draft","new","working","WORKING","Yes","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Create workspace opens for inspection."
"Reason Codes","/masters/reason-codes","Save reason draft","save","disabled","DISABLED WITH REASON","N/A","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Save remains honest in create and detail workspace."
"Classifications","/masters/classifications","New classification","new","working","WORKING","Yes","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Create workspace opens for inspection."
"Classifications","/masters/classifications","Save classification","save","disabled","DISABLED WITH REASON","N/A","DISABLED WITH REASON","Save is not enabled for this setup workflow yet.","Save remains honest in create and detail workspace."
"Item Master","/masters/items","New item draft","new","working","WORKING","Yes","DISABLED WITH REASON when write access is missing","Sign in with item master write access to save this record.","Existing create workspace now has screen and selected-tab help."
"Customer Master","/partners/customers","New customer draft","new","working","WORKING","Yes","DISABLED WITH REASON when write access is missing","Sign in with partner master write access to save this record.","Existing create workspace now has screen help."
"Supplier Master","/partners/suppliers","New supplier draft","new","working","WORKING","Yes","DISABLED WITH REASON when write access is missing","Sign in with partner master write access to save this record.","Existing create workspace now has screen help."
"Price Lists","/commercial/price-lists","New price list","new","working","WORKING","Yes","WORKING when live write access and validation pass","Sign in with commercial setup write access to save this setup.","Screen help and action help added."
"Discount Schemes","/commercial/discount-schemes","New discount scheme","new","working","WORKING","Yes","WORKING when live write access and validation pass","Sign in with commercial setup write access to save this setup.","Screen help and action help added."
"Tax Currency Terms","/commercial/tax-currency-terms","Save Setup","save","disabled or working","DISABLED WITH REASON OR WORKING","Yes","DISABLED WITH REASON OR WORKING","Sign in with commercial setup write access to save this setup.","Screen help and action help added."
"BOM Library","/engineering/boms","New BOM draft","new","working","WORKING","Yes","WORKING when live engineering write access exists","","Screen help and tab help added."
"Routings","/engineering/routings","New routing","new","working","WORKING","Yes","WORKING when live engineering write access exists","","Screen help and tab help added."
"MRP Run Console","/planning/mrp","Run MRP","run","disabled or working","DISABLED WITH REASON OR WORKING","No","N/A","Run stays disabled when the selected planning context cannot create a controlled planning run.","Action help explains dependencies."
"Pack Lists","/dispatch/pack-lists","Create pack list","create","disabled","DISABLED WITH REASON","No","DISABLED WITH REASON","Pack-list creation requires dispatch workflow enablement.","Screen help explains why the action is unavailable."
"Shipment Delivery","/dispatch/shipments","Save shipment","save","disabled","DISABLED WITH REASON","N/A","DISABLED WITH REASON","Shipment save requires dispatch workflow enablement.","Screen help explains why the action is unavailable."
"Runtime UAT","/platform/runtime-uat","Run checks","run","working","WORKING","No","N/A","","Runs live health, context, role, API, baseline-data, and publish-readiness probes for the authenticated environment."
"Runtime UAT","/platform/runtime-uat","Export evidence","export","working or disabled","WORKING OR DISABLED WITH REASON","No","N/A","Run checks or clear filters before exporting evidence.","Exports filtered probe rows to CSV when evidence rows are available."
"Runtime UAT","/platform/runtime-uat","Open screen","open","working or disabled","WORKING OR DISABLED WITH REASON","Yes when route exists","N/A","This runtime check does not open an application workspace.","Detail modal opens a specific workspace when the probe has a route and disables honestly for API-only checks."
"Extensibility","/platform/extensibility","New field","new","working","WORKING","Yes","WORKING when validation passes","","Opens a centered UDF definition workspace with governed entity, control, data-type, and role selectors."
"Extensibility","/platform/extensibility","Save definition","save","working or disabled","WORKING OR DISABLED WITH REASON","N/A","WORKING when validation passes","Required metadata and lookup-source rules must be complete.","Saves UDF definition metadata through the platform extensibility API."
"Extensibility","/platform/extensibility","Import definitions","upload","disabled","DISABLED WITH REASON","No","N/A","Bulk import requires approved import mapping before it can accept files.","Visible import action is intentionally disabled until mapping governance exists."
