"Screen","Field","ControlType","Status","Evidence","RemainingDependency"
"Purchase Requisitions","Source type","Lookup/select","FIXED","Static governed selector in PR workspace.","None."
"Purchase Requisitions","Source document id","Number","FIXED","ErpNumberField is used.","None."
"Purchase Requisitions","Status","Lookup/select","FIXED","Governed status selector in PR workspace.","None."
"Purchase Requisitions","Item","Lookup/select","FIXED","Uses live item lookup source where available; disabled with reason otherwise.","Item master lookup API."
"Purchase Requisitions","Order UOM","Lookup/select","FIXED","Uses live UOM source where available; disabled with reason otherwise.","UOM setup API."
"Purchase Requisitions","Required quantity","Decimal","FIXED","ErpDecimalField enforces numeric quantity.","None."
"Purchase Requisitions","Need by","Date","FIXED","Native date control.","None."
"Purchase Orders","Supplier","Lookup/select","FIXED","Uses live supplier source; immutable after save.","Supplier master API."
"Purchase Orders","Status","Lookup/select","FIXED","Governed status selector in PO workspace.","None."
"Purchase Orders","Expected receipt","Date","FIXED","Native date control.","None."
"Purchase Orders","Item","Lookup/select","FIXED","Uses live item lookup source.","Item master lookup API."
"Purchase Orders","Order UOM","Lookup/select","FIXED","Uses live UOM source.","UOM setup API."
"Purchase Orders","Ordered quantity","Decimal","FIXED","ErpDecimalField enforces numeric quantity.","None."
"Purchase Orders","Expected line date","Date","FIXED","Native date control.","None."
"Subcontract Plans","Supplier","Lookup/select","FIXED","Uses live supplier source; immutable after save.","Supplier master API."
"Subcontract Plans","Work order","Lookup/select","FIXED","Uses live work order source where available; immutable after save.","Released work orders required."
"Subcontract Plans","Operation","Lookup/select","FIXED","Uses live operation source where available; immutable after save.","Operation master API."
"Subcontract Plans","Status","Lookup/select","FIXED","Governed status selector.","None."
"Subcontract Plans","Expected return","Date","FIXED","Native date control.","None."
"Purchase Invoice / Payment / Landed Cost","Amount/rate/accounting fields","Blocked","NOT-IN-SCOPE","No AP/accounting fields introduced.","Product owner scope change required."
