IssueClass,ScreenOrRoute,CurrentBehavior,DesiredBehavior,PatternClass,FixApplied,RemainingDependency,Status
flat submenu grouping,Shared App Shell,Master Data mixed organization measurement masters and resources into one expanded bucket,Master Data owns measurement and master-data children while Organization owns company and resource setup,flat submenu grouping,Added separate Organization group and explicit Company Structure Resource Setup Units and Measurement Item Foundation and Business Partners parent buckets,None,Fixed
flat submenu grouping,Shared App Shell,Planning and Engineering sections could still read as broad buckets without clear ownership,Planning Engineering and Production remain explicit parent groups with child indentation,flat submenu grouping,Kept parent labels and nested child link rendering across planning engineering production and commercial groups,None,Fixed
repeated generic icons,Shared App Shell,Production Receipt Scrap Rework Platform Settings and Tenant Settings reused broad generic icons,Object/function entries use differentiated business icons,repeated generic icons,Added receipt rework scrap and tenant icon names and SVGs plus route-specific mapping,None,Fixed
repeated generic icons,Shared App Shell,Master measurement item partner resource commercial planning and platform entries needed object-level icon truth,Entries have route-specific icons instead of broad section defaults,repeated generic icons,Verified and extended object-level icon map for required families,None,Fixed
duplicate role/user context,All shared-shell routes,User role context could be repeated near page header while sidebar user card already identifies the session,User identity appears once in the shared shell context,duplicate role/user context,Preserved sidebar identity and kept page header free of duplicate role chips,None,Fixed
duplicate company/branch display,All shared-shell routes,Company and branch context could be repeated as text while selectors already show current values,Company and branch selectors remain the single visible context source,duplicate company/branch display,Kept selector-based context and avoided redundant header text,None,Fixed
duplicate unread count display,All shared-shell routes,Unread notification count could be duplicated under page title and in the notification button,Top-right notification button remains the count source,duplicate unread count display,Verified header avoids a second unread summary chip,None,Fixed
seeded/demo notification confusion,/platform/notifications and notification drawer,Live API failure could look like an operational queue if seeded rows were shown silently,Live mode shows live API data only or a clean unavailable/empty state,seeded/demo notification confusion,Retained live failure no-seeded-row behavior and regression tests,None,Fixed
seeded/demo notification confusion,/platform/approvals,Live approval failure could imply demo approvals were production work,Live mode uses live approval data only and seeded approvals stay non-live,seeded/demo notification confusion,Retained non-live approval filtering and approval unavailable behavior,None,Fixed
generic linked-record routing,/ and dashboard blocker cards,Home attention actions could navigate to a generic dashboard page without record context,Open workspace carries the relevant sales order query or is disabled with reason,generic linked-record routing,Dashboard blocker links now pass order query context and notification-derived blockers use linked-action state,None,Fixed
generic linked-record routing,/platform/notifications,Notification open actions could route to broad module pages without a resolvable record,Open actions require record-specific paths or visible disabled reasons,generic linked-record routing,Notification action state already enforces specific approval/workspace links and disables unsupported targets,None,Fixed
generic linked-record routing,/platform/approvals,Dispatch approval was previously treated as unsupported even though a specific pack-list workspace exists,Dispatch approval opens the pack-list route with the pack-list id,generic linked-record routing,Changed dispatch approval to /dispatch/pack-lists?packList=PACK-2026-0042 and aligned notification reference,None,Fixed
blank target after linked-record action,/dispatch/pack-lists,Pack list page did not select a target row from packList query context,Deep link selects the requested pack list in the detail workspace,blank target after linked-record action,Added packList query handling in PackListPage,None,Fixed
blank target after linked-record action,/dispatch/shipments,Shipment page pack-list action carried shipment context to the pack-list route,Open pack list passes packList context and shipment page can select shipment or packList query,blank target after linked-record action,Added shipment/packList query handling and corrected pack-list navigation,None,Fixed
blank target after linked-record action,/platform/approvals unsupported approvals,BOM purchase order AI summary and stage-board targets do not yet have safe exact record routes,Unsupported targets are disabled with clear business reasons,blank target after linked-record action,Retained disabled-with-reason action state for unsupported approval and notification records,Target-specific deep links can be added when those record workspaces support exact context,Fixed
notification/action badge clutter,Shared App Shell,Header risked mixing identity branch and notification summaries with action controls,Header stays compact while navigation and notification controls remain discoverable,action badge clutter,Pattern verified through shared-shell tests and screenshots,None,Fixed
