"Domain","Screen/Feature","Route or API","CurrentState","UIState","BackendState","DBState","ActionTruthState","Notes","ScreenId","Route","CurrentQuality","MissingActions","MissingSections","MissingLookupControls","MissingPersistence","Acceptable","IssueCount","CriticalIssueCount","FixedIssueCount","IssueSummary","WorkingActions","DisabledActions","HiddenActions","UnknownActions","SuggestedWave","CompletionGate"
"Platform","Login","/login; /api/auth/login","PARTIAL","Web route exists; production copy improved; mobile still demo-like","Partial API backed","Partial bootstrap identity and role mirror","Partial","Device registration is visibly disabled until device trust policy is enabled.","W001","/login","PARTIAL / LIVE","Session/device hardening actions not complete","Device/session policy, stale-token diagnostics","Company/branch selectors need hardened source rules","Bootstrap identity backed, production auth depth partial","INTERNAL_ONLY","0","0","1","Device trust controls made honest while sign-in remains live-backed","2","1","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Forgot Password / Reset","/forgot-password; /api/auth/forgot-password","PARTIAL","Route exists but reset depth shallow","Partial API backed","Partial reset/provider tables","Partial","Reset completion requires approved verification workflow.","W002","/forgot-password","PARTIAL / LIVE","Reset completion and provider send incomplete","Reset completion, token expiry review, delivery audit","","Provider-backed reset persistence partial","INTERNAL_ONLY","1","0","1","Request recovery remains working; direct token reset controls disabled with reason","2","1","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Context Switch","/platform/context-switch; /api/auth/switch-context","PARTIAL","Route exists","Live API backed except warehouse preference depth","Exists/partial","Partial","All operating context selectors preserve controlled source options.","W003","/platform/context-switch","PARTIAL / LIVE","","","","","","0","0","1","Company branch and warehouse selectors moved to governed lookup controls.","2","0","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Notification Center","/platform/notifications; /api/notifications","PARTIAL","Route exists","Live API backed","Exists","Partial","Provider delivery and mobile sync remain incomplete","W006","/platform/notifications","PARTIAL / LIVE","Provider delivery actions partial","Delivery history, retries, templates, channel status","Module/status filters are governed select controls; user/source selector depth partial","Inbox live; provider persistence partial","INTERNAL_ONLY","1","0","1","Data truth fixed; provider delivery depth partial","2","1","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Approval Workbench","/platform/approvals; /api/approvals","PARTIAL","Route exists","Live API backed","Partial","Partial","Approval depth, comments, delegation, and audit trail incomplete","W007","/platform/approvals","PARTIAL / LIVE","Delegation/comment/history actions partial; decisions gated by approval status","Approval comments, delegation, history, source impact","Module/status filters are governed select controls; approver/workflow source depth partial","Approval live; workflow/audit depth partial","INTERNAL_ONLY","1","0","1","Data/action truth fixed; delegation/history partial","4","3","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","User Management","/platform/users; /api/users","PARTIAL","Route exists; many actions disabled","Partial API backed","Partial","Many disabled with reason","Invite/reset/custom role actions disabled; export working","W008","/platform/users","PARTIAL / LIVE","Invite/reset/save disabled with reasons; export working","User lifecycle, device/MFA, activation blockers, audit","Role/status filters are governed select controls; branch scope lifecycle partial","User write/device lifecycle partial","INTERNAL_ONLY","1","0","1","Data truth fixed; lifecycle depth partial","1","3","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Role And Permission Matrix","/platform/roles; /api/roles","PARTIAL","Route exists; many actions disabled","Partial API backed","Partial","Many disabled with reason","Action/data/mobile scope and permission lifecycle incomplete","W009","/platform/roles","PARTIAL / LIVE","Create/clone/save disabled with reasons; export matrix working","Custom role lifecycle and mobile scope governance","Status filter governed; permission scope source partial","Role lifecycle persistence partial","INTERNAL_ONLY","1","0","1","Data/action truth fixed; custom role lifecycle partial","1","3","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Language And Translation Setup","/platform/translations; /api/localization/resources","PARTIAL","Route exists","Partial API backed","Partial","Partial","Publish/review workflow and AI translation review incomplete","W010","/platform/translations","PARTIAL / LIVE","","","","","","0","0","1","Live registry no longer mixes bundled reference rows when API data fails or is empty.","1","2","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Workflow And Numbering Setup","/platform/workflow-numbering; /api/settings/workflow-rules","PARTIAL","Route exists; write actions shallow","Partial API backed","Partial","Disabled where not safe","Concurrency-safe numbering and workflow versioning incomplete","W011","/platform/workflow-numbering","PARTIAL / LIVE","","","","","","0","0","1","Live-unavailable state is explicit and write/export actions remain disabled with business-safe reasons.","1","2","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
"Platform","Tenant Settings","/platform/tenant-settings; /api/settings/tenant-settings","PARTIAL","Route exists","Partial API backed","Partial","Partial","Write/publish/audit model incomplete","W012","/platform/tenant-settings","PARTIAL / LIVE","","","","","","0","0","1","Tenant settings now show live-unavailable state and disabled save/export reasons.","1","2","0","0","Wave 2 Platform/Admin/Security","Must have 0 dead visible actions; governed controls; persistence or honest disable; screenshots"
