"Screen","Route","Domain","Status","ImplementationEvidence","RemainingDependency"
"Integration Provider Admin","/integrations/providers","Integrations","COMPLETE","Provider list/search, connection context, centered provider create/edit workspace, live save API wiring, review-mode disabled save reason","External credential rotation remains disabled with secret-store reason"
"Provider Health","/integrations/health","Integrations","COMPLETE","Outbound and AI provider health dashboards, live refresh action, numeric connection/model counts","External probe execution remains server allow-list controlled"
"Webhook Subscriptions","/integrations/webhooks","Integrations","COMPLETE","Webhook list/search, centered create/edit workspace, live save and test dispatch wiring","Secret rotation remains disabled with secret-store reason"
"Import Jobs","/integrations/imports","Import/Export","COMPLETE","Import queue list/search, centered queue workspace, live queue API, status modal, numeric failed rows","Binary file staging/upload scanner remains disabled with reason"
"Export Jobs","/integrations/exports","Import/Export","COMPLETE","Export queue list/search, centered queue workspace, live queue API, status modal","Completed-export signed URL download remains disabled with reason"
"Delivery Logs","/integrations/delivery-logs","Outbound Messaging","COMPLETE","Delivery log list/search, governed preview controls, live preview and queue actions, numeric attempt counts","Provider retry worker execution remains backend-managed"
"AI Assistant","/ai/assistant","AI","COMPLETE","Grounded assistant plan, live draft generation, governed provider/model/intent selectors, draft-only policy visible","Operational write-back remains disabled with reason"
"Translation Assistant","/ai/translations","AI","COMPLETE","Translation draft generation, governed provider/model/language selectors, review-only publishing state","Direct translation publish remains disabled with reason"
"Report Catalog","/reports/catalog","Reporting","COMPLETE","Catalog list, date/numeric parameters, governed report domain selector, live report export queue","Report layout authoring remains disabled with reason"
"Report Parameters","/reports/parameters","Reporting","COMPLETE","Dedicated route using governed catalog parameter controls","Advanced parameter-builder persistence remains future workflow"
"Saved Views","/reports/saved-views","Reporting","COMPLETE","Saved view register with numeric refresh cadence and publication actions disabled with reasons","Saved-view persistence/share workflow remains future personalization"
"Mobile Execution Shell","src/mobile","Mobile","REVERIFIED","Existing mobile action queue/disabled states revalidated through mobile typecheck and coverage-plan script","Native camera/barcode/voice capture remains outside this web-focused implementation surface"
