"ScreenName","Route","PageFile","Domain","Implemented Yes/No","MenuVisibleForSuperAdmin Yes/No","MenuGroup","VisibleForNonAdminRoles","RouteWorks Yes/No","Status: VISIBLE / HIDDEN / BLOCKED / MISSING","FixRequired","Notes"
"Login","/login","src/web/src/pages/LoginPage.tsx","Platform","Yes","No","Not in app menu","All users before sign-in","Yes","HIDDEN","No","Anonymous entry route is intentionally outside authenticated app navigation."
"Forgot Password","/forgot-password","src/web/src/pages/PlatformPages.tsx","Platform","Yes","No","Not in app menu","All users before sign-in","Yes","HIDDEN","No","Anonymous recovery route is intentionally outside authenticated app navigation."
"Home Dashboard","/","src/web/src/pages/DashboardPages.tsx","Overview","Yes","Yes","OVERVIEW","All authenticated roles","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Order Delivery","/dashboards/order-delivery","src/web/src/pages/DashboardPages.tsx","Overview","Yes","Yes","OVERVIEW","SalesCoordinator; ManagementViewer; PlantHead; PlanningManager","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Stage Wise","/dashboards/stage-wise","src/web/src/pages/DashboardPages.tsx","Overview","Yes","Yes","OVERVIEW","PlantHead; ManagementViewer; PlanningManager; ProductionSupervisor","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Executive Cockpit","/dashboards/executive-cockpit","src/web/src/pages/DashboardPages.tsx","Overview","Yes","Yes","OVERVIEW","ManagementViewer","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"BOM Library","/engineering/boms","src/web/src/pages/EngineeringPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"BOM Editor","/engineering/bom-editor","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"BOM Comparison","/engineering/bom-comparison","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"ECO Control","/engineering/eco-revisions","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Routings","/engineering/routings","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Operation Standards","/engineering/operations","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Alternate Items","/engineering/alternate-items","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; PurchaseManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Engineering Documents","/engineering/documents","src/web/src/pages/EngineeringContinuationPages.tsx","Engineering","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Work Orders","/production/work-orders","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Job Cards","/production/job-cards","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Machine Board","/production/machine-board","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Occupancy Calendar","/production/occupancy","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","PlanningManager; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Shift Production","/production/shift-production","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Downtime Register","/production/downtime","src/web/src/pages/OperationsPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Production Receipt","/production/receipts","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; StoreKeeper; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Scrap / By-product","/production/scrap-by-products","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Rework Orders","/production/rework-orders","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; QCInspector; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Machine Status","/production/machine-status","src/web/src/pages/ProductionOutputPages.tsx","Production","Yes","Yes","ENGINEERING & PRODUCTION","ProductionSupervisor; PlantHead","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"UOM Classes","/measurements/uom-classes","src/web/src/pages/MeasurementPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"UOM Conversions","/measurements/uom-conversions","src/web/src/pages/MeasurementPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Measurement Profiles","/measurements/profiles","src/web/src/pages/MeasurementPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Item Groups","/masters/item-groups","src/web/src/pages/ItemMasterPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Item Attributes","/masters/item-attributes","src/web/src/pages/ItemMasterPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Reason Codes","/masters/reason-codes","src/web/src/pages/ItemMasterPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; ProductionSupervisor; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Items","/masters/items","src/web/src/pages/ItemMasterPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Item Variants","/masters/item-variants","src/web/src/pages/ItemMasterPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Barcodes","/masters/barcodes","src/web/src/pages/ItemMasterPages.tsx","Master Data","Yes","Yes","MASTER DATA","CompanyAdmin; PlanningManager; StoreKeeper","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Customers","/partners/customers","src/web/src/pages/PartnerPages.tsx","Master Data","Yes","Yes","MASTER DATA","SalesCoordinator; ManagementViewer; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Suppliers","/partners/suppliers","src/web/src/pages/PartnerPages.tsx","Master Data","Yes","Yes","MASTER DATA","PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Supplier Lead Times","/partners/supplier-lead-times","src/web/src/pages/CommercialPlanningPages.tsx","Master Data","Yes","Yes","MASTER DATA","PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Price Lists","/commercial/price-lists","src/web/src/pages/CommercialMasterPages.tsx","Commercial Setup","Yes","Yes","COMMERCIAL SETUP","SalesCoordinator; PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Discount Schemes","/commercial/discount-schemes","src/web/src/pages/CommercialMasterPages.tsx","Commercial Setup","Yes","Yes","COMMERCIAL SETUP","SalesCoordinator; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Tax, Currency & Terms","/commercial/tax-currency-terms","src/web/src/pages/CommercialMasterPages.tsx","Commercial Setup","Yes","Yes","COMMERCIAL SETUP","SalesCoordinator; PurchaseManager; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Quotes","/sales/quotes","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","Yes","PLANNING","SalesCoordinator; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Sales Orders","/sales/orders","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","Yes","PLANNING","SalesCoordinator; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Blanket Orders","/sales/blanket-orders","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","Yes","PLANNING","SalesCoordinator; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Demand Forecast","/sales/forecasts","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","Yes","PLANNING","SalesCoordinator; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"Available to Promise","/sales/available-to-promise","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","Yes","PLANNING","SalesCoordinator; PlanningManager; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"MPS Planner","/planning/mps","src/web/src/pages/CommercialPlanningPages.tsx","Planning","Yes","Yes","PLANNING","PlanningManager; PlantHead; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"MRP Run Console","/planning/mrp","src/web/src/pages/PlanningPages.tsx","Planning","Yes","Yes","PLANNING","PlanningManager; PlantHead; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
"MRP Results","/planning/mrp-results","src/web/src/pages/PlanningPages.tsx","Planning","Yes","Yes","PLANNING","PlanningManager; PlantHead; CompanyAdmin","Yes","VISIBLE","No","Route and menu entry are aligned for Super Admin."
