"Screen","Route","Field","BaselineState","FinalState","ControlType","LookupSource","Notes"
"Inventory Balance","/inventory/balances","Status filter","COMPLETE FROM PRIOR WAVE","COMPLETE","Select","Inventory balance status list","No touched governed field remains unrestricted text."
"Traceability","/inventory/traceability","Lot/serial search context","COMPLETE FROM PRIOR WAVE","COMPLETE","Search/read-only grid","Traceability ledger","Traceability values remain selected from ledger rows and are not edited as free text."
"Cycle Count","/inventory/cycle-counts","Warehouse","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Warehouse/bin count generation rules","Warehouse is displayed as a governed disabled lookup in the count workspace."
"Cycle Count","/inventory/cycle-counts","Count date","DATE AS TEXT RISK","COMPLETE","Date input","","Count date is edited with a date control."
"Cycle Count","/inventory/cycle-counts","Count type/status","FREE TEXT RISK","COMPLETE","ErpLookupField","Cycle count status/type options","Count type and status use governed selectors."
"Cycle Count","/inventory/cycle-counts","System/count quantities","NUMERIC TRUTH GAP","COMPLETE","ErpDecimalField","","System quantity is read-only decimal; counted quantity is live-editable decimal."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Source document","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Receipt/job-card/dispatch source context","Source remains governed/read-only from execution context."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Trace","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Inventory traceability","Trace uses a governed disabled lookup."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Decision notes","NARRATIVE","COMPLETE","Text input","","Decision notes remain business narrative and are disabled without live sign-in."
"NCR / Deviation","/quality/ncr","Disposition","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Quality disposition rules","Disposition is rendered as governed disabled lookup."
"NCR / Deviation","/quality/ncr","Rework link","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Rework order workflow","Rework linkage is governed and not open text."
"NCR / Deviation","/quality/ncr","Close remarks","NARRATIVE","COMPLETE","Text input","","Close remarks remain business narrative and are disabled without live sign-in."
"Pack List","/dispatch/pack-lists","Packed quantity","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpNumberField","","Packed quantity remains numeric and workflow-controlled."
"Pack List","/dispatch/pack-lists","Status","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Dispatch pack status","Pack status is governed/read-only in the modal workspace."
"Shipment / Delivery","/dispatch/shipments","Pack list","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Pack list","Pack list is governed/read-only from dispatch planning."
"Shipment / Delivery","/dispatch/shipments","Shipped quantity","NUMERIC TRUTH GAP","COMPLETE","ErpNumberField","","Shipment quantity is displayed through numeric control."
"Shipment / Delivery","/dispatch/shipments","Shipment status","FREE TEXT RISK","COMPLETE","ErpLookupField","Shipment status options","Shipment status uses governed selector for live proof update."
"Shipment / Delivery","/dispatch/shipments","Loaded/delivered timestamps","DATE/TIME AS TEXT RISK","COMPLETE","Datetime-local input","","Loaded and delivered timestamps use datetime controls."
"Shipment / Delivery","/dispatch/shipments","Vehicle/tracking/seal/proof notes","NARRATIVE","COMPLETE","Text input","","These remain operational narrative identifiers, disabled for demo/no-live records."
