"ScopeItem","RequestedRouteOrArea","Status","Evidence","RemainingDependency"
"Chart of Accounts","Finance / GL","BLOCKED","AGENTS.md and docs/architecture/scope-guardrails.md explicitly exclude full accounting, general ledger, AP, AR, taxation, bank reconciliation, and financial close from V1","Product owner must approve a scope change outside V1 before implementation"
"Fiscal Periods","Finance / Accounting","BLOCKED","No existing route, API, DB object, or approved V1 surface exists in source tree","Product owner must approve a finance module outside V1"
"Journal Entry Create/Post/Reverse","GL","BLOCKED","No accounting journal backend or web surface exists; implementing it would be a large speculative module","Product owner must approve a finance module outside V1"
"Trial Balance","GL Reporting","BLOCKED","No ledger tables or posting hooks exist for accounting statements","Product owner must approve a finance module outside V1"
"Profit and Loss","Financial Reporting","BLOCKED","Full accounting and financial close are explicit V1 exclusions","Product owner must approve a finance module outside V1"
"Balance Sheet","Financial Reporting","BLOCKED","Full accounting and financial close are explicit V1 exclusions","Product owner must approve a finance module outside V1"
"Accounts Payable Aging","AP","BLOCKED","AP is explicit V1 exclusion; procurement support remains planning/manufacturing scope only","Product owner must approve a finance module outside V1"
"Accounts Receivable Aging","AR","BLOCKED","AR is explicit V1 exclusion; sales demand remains manufacturing demand capture only","Product owner must approve a finance module outside V1"
"Bank Reconciliation","Bank","BLOCKED","Bank reconciliation is explicit V1 exclusion","Product owner must approve a finance module outside V1"
"Cost/Profit Center Allocation","Cost Accounting","BLOCKED","No approved V1 cost accounting module exists; manufacturing resource/capacity remains operational, not financial close","Product owner must approve a finance module outside V1"
"COGS Posting Hooks","Sales/Purchase/Inventory/Production Posting","BLOCKED","No accounting ledger exists; V1 continues to use operational inventory/audit ledgers only","Product owner must approve a finance module outside V1"
"Finance Navigation","/finance /accounting /gl /ap /ar","HIDDEN","WS08 regression test verifies no Finance/Accounting/GL/AP/AR navigation or route scaffold is introduced","None for V1 exclusion"
