"Screen","Route","Action","FinalState","Evidence","RemainingDependency"
"Purchase Requisitions","/procurement/requisitions","New PR draft","WORKING","Opens centered create workspace.","None."
"Purchase Requisitions","/procurement/requisitions","Save requisition","WORKING","Calls create/update purchase requisition API in live sessions; disabled with reason in review mode.","None for implemented PR save."
"Purchase Requisitions","/procurement/requisitions","Approve requisition","WORKING","Calls approve purchase requisition API for saved records in live sessions.","Approval rule depth can be extended later."
"Purchase Requisitions","/procurement/requisitions","Export PR queue","DISABLED WITH REASON","Export remains disabled with reporting workflow reason.","Reporting export workflow."
"Purchase Orders","/procurement/purchase-orders","New PO draft","WORKING","Opens centered create workspace.","None."
"Purchase Orders","/procurement/purchase-orders","Save purchase order","WORKING","Calls create/update purchase order API in live sessions; disabled with reason in review mode.","None for implemented PO save."
"Purchase Orders","/procurement/purchase-orders","Approve PO","WORKING","Calls approve purchase order API for saved records in live sessions.","Approval rule depth can be extended later."
"Purchase Orders","/procurement/purchase-orders","Receive against PO","DISABLED WITH REASON","Disabled with explicit GRN/receipt workflow dependency.","GRN/receiving module."
"Purchase Orders","/procurement/purchase-orders","Export PO follow-up","DISABLED WITH REASON","Export remains disabled with reporting workflow reason.","Reporting export workflow."
"Subcontract Plans","/procurement/subcontract-plan","New outside plan","WORKING","Opens centered create workspace.","None."
"Subcontract Plans","/procurement/subcontract-plan","Save outside plan","WORKING","Calls create/update subcontract order API in live sessions; disabled with reason in review mode.","None for implemented subcontract save."
"Subcontract Plans","/procurement/subcontract-plan","Approve outside plan","WORKING","Calls approve subcontract order API for saved records in live sessions.","Approval rule depth can be extended later."
"Subcontract Plans","/procurement/subcontract-plan","Receive back","DISABLED WITH REASON","Disabled with explicit receiving/GRN and incoming QC dependency.","Receiving/GRN module."
"Subcontract Plans","/procurement/subcontract-plan","Print send-out note","DISABLED WITH REASON","Disabled with document workflow dependency.","Document template workflow."
"RFQ / Supplier Quote / Invoice / Payment / Landed Cost","unimplemented WS09 routes","Create/save/post actions","HIDDEN","No speculative routes or dead buttons introduced.","Approved future module scope required."
