"ScreenName","RequiredApi","CurrentApiExists","RequiredTables","CurrentTablesExist","SeedDataRequired","LiveDataStatus","BackendGap","DbGap","ReworkPriority"
"W001 Login","/api/auth/login;/api/auth/refresh;/api/auth/me","Yes","Users;Roles;UserSessions;RefreshTokens;CompanyScopes","Partial","SuperAdmin user and role","PARTIAL","Stale-token cleanup and deliberate super admin rule need final hardening","Identity bootstrap and role mirror need production seed clarity","CRITICAL"
"W002 Forgot Password / Reset","/api/auth/forgot-password","Partial","Users;PasswordResetRequests;NotificationEvents","Partial","Admin/test recovery account","PARTIAL","Reset completion and provider delivery are incomplete","Reset/provider tables may need additive completion","CRITICAL"
"W003 Context Switch","/api/auth/switch-context;/api/companies;/api/branches;/api/warehouses","Yes","Companies;Branches;Warehouses;UserScopes","Yes","Company branch warehouse seed","LIVE","Warehouse preference persistence is not fully server-owned","None critical","HIGH"
"W004 Role Home Dashboard","/api/dashboards/*;/api/notifications;/api/approvals","Partial","DashboardViews;Notifications;Approvals;Orders;WorkOrders","Partial","Operational demo data","PARTIAL","Role-specific task composition is shallow","KPI materialization may need views","HIGH"
"W005 Global Search","/api/search","No","SearchIndex or indexed source views","No","Cross-domain searchable seed","UNKNOWN","No global search API","No search index/read model","CRITICAL"
"W006 Notification Center","/api/notifications","Yes","Notifications;NotificationRecipients;NotificationEvents","Yes","Notification seed","LIVE","Provider delivery sync incomplete","Provider delivery tables partial","HIGH"
"W007 Approval Workbench","/api/approvals","Yes","Approvals;ApprovalSteps;WorkflowRules;AuditEvents","Partial","Approval queue seed","LIVE","Workflow depth delegation and comments incomplete","Approval history/audit depth partial","HIGH"
"W008 User Management","/api/users","Partial","Users;Roles;UserRoles;UserScopes;Devices","Partial","SuperAdmin and admin users","PARTIAL","Full user write/device/MFA lifecycle incomplete","Device/MFA tables partial or missing","CRITICAL"
"W009 Role & Permission Matrix","/api/roles","Partial","Roles;Permissions;RolePermissions;MenuPolicies","Partial","SuperAdmin role templates","PARTIAL","Action/data/mobile scope granularity incomplete","Permission model needs additive depth","CRITICAL"
"W010 Language Setup","/api/localization/resources","Partial","Languages;LocalizationResources;TranslationReviews","Partial","Base en-IN resources","PARTIAL","Language lifecycle and publish workflow incomplete","Review/publish tables partial","MEDIUM"
"W011 Numbering / Workflow","/api/settings/workflow-rules","Partial","NumberingSeries;WorkflowRules;WorkflowVersions;StatusTransitions","Partial","Default document series","PARTIAL","Concurrency-safe numbering and versioned workflow incomplete","Series locking/version tables partial","CRITICAL"
"W012 Tenant Settings","/api/settings/tenant-settings","Partial","TenantSettings;FeatureFlags;SettingAudit","Partial","Default tenant settings","PARTIAL","Write/publish model incomplete","Settings audit/version tables partial","HIGH"
"W020 Company Master","/api/companies","Yes","Companies;CompanyContacts;CompanyCalendars;AuditEvents","Partial","Company seed","LIVE","Legal/contact/calendar depth incomplete","Contact/calendar tables partial","HIGH"
"W021 Branch Master","/api/branches","Yes","Branches;BranchContacts;BranchCalendars;Warehouses","Partial","Branch seed","LIVE","Default warehouse and contacts need depth","Branch contact/calendar partial","HIGH"
"W022 Department Master","/api/departments","Yes","Departments;Users;UserScopes","Yes","Department seed","LIVE","Manager/user mapping incomplete","None critical","MEDIUM"
"W023 Warehouse Master","/api/warehouses","Yes","Warehouses;Bins;WarehousePolicies;InventoryBalances","Partial","Warehouse seed","LIVE","Policy and capacity depth incomplete","Warehouse policy tables partial","HIGH"
"W024 Bin Master","/api/bins","Yes","Bins;BinBarcodes;BinCapacity;InventoryBalances","Partial","Bin seed","LIVE","Physical hierarchy barcode capacity incomplete","Bin barcode/capacity partial","HIGH"
