"Screen","Route","Action","FinalState","Evidence","ReasonIfDisabled"
"Integration Provider Admin","/integrations/providers","New provider","WORKING","Opens centered provider workspace",""
"Integration Provider Admin","/integrations/providers","Save provider","WORKING","Calls integration provider create/update API in live sessions","Review mode requires live platform administration session"
"Integration Provider Admin","/integrations/providers","Rotate credentials","DISABLED WITH REASON","Visible disabled action","Credential rotation must be completed in approved secret store"
"Provider Health","/integrations/health","Refresh health","WORKING","Refetches provider health queries",""
"Provider Health","/integrations/health","Run external probe","DISABLED WITH REASON","Visible disabled action","External probes must run from server network allow-list"
"Webhook Subscriptions","/integrations/webhooks","New webhook","WORKING","Opens centered webhook workspace",""
"Webhook Subscriptions","/integrations/webhooks","Save webhook","WORKING","Calls webhook create/update API in live sessions","Review mode requires live company administration session"
"Webhook Subscriptions","/integrations/webhooks","Dispatch test event","WORKING","Calls webhook dispatch API in live sessions","Review mode requires live company administration session"
"Webhook Subscriptions","/integrations/webhooks","Rotate webhook secret","DISABLED WITH REASON","Visible disabled action","Secret rotation must be completed in approved secret store"
"Import Jobs","/integrations/imports","New import","WORKING","Opens centered import queue workspace",""
"Import Jobs","/integrations/imports","Queue import","WORKING","Calls import queue API in live sessions","Review mode requires live branch operations session"
"Import Jobs","/integrations/imports","Upload source file","DISABLED WITH REASON","Visible disabled action","Binary import staging requires approved upload scanner workflow"
"Import Jobs","/integrations/imports","Attach import file","DISABLED WITH REASON","Visible file action state","Import upload requires scanner and staging workflow"
"Import Jobs","/integrations/imports","Save import status","WORKING","Calls import status update API in live sessions","Review mode requires live branch operations session"
"Export Jobs","/integrations/exports","Queue export","WORKING","Opens workspace and calls export queue API in live sessions","Review mode requires live branch operations session"
"Export Jobs","/integrations/exports","Download file","DISABLED WITH REASON","Visible disabled action","Download requires completed export and signed storage URL"
"Export Jobs","/integrations/exports","Save export status","WORKING","Calls export status update API in live sessions","Review mode requires live branch operations session"
"Export Jobs","/integrations/exports","Open storage file","DISABLED WITH REASON","Visible disabled action","Storage file access requires completed export and signed URL"
"Delivery Logs","/integrations/delivery-logs","Preview message","WORKING","Calls outbound message preview API in live sessions","Review mode requires live messaging session"
"Delivery Logs","/integrations/delivery-logs","Queue message","WORKING","Calls outbound message queue API after preview","Preview is required before queueing"
"AI Assistant","/ai/assistant","Prepare governed plan","WORKING","Calls assistant planning API in live sessions","Review mode requires live permission-aware session"
"AI Assistant","/ai/assistant","Generate draft","WORKING","Calls AI draft API in live sessions","Review mode requires live permission-aware session"
"AI Assistant","/ai/assistant","Apply recommendation","DISABLED WITH REASON","Visible disabled action","AI outputs are draft-only and cannot write operational data"
"Translation Assistant","/ai/translations","Generate translation draft","WORKING","Calls translation draft API in live sessions","Review mode requires live permission-aware session"
"Translation Assistant","/ai/translations","Publish translation","DISABLED WITH REASON","Visible disabled action","AI translation drafts require human review before publishing"
"Report Catalog","/reports/catalog","Queue report export","WORKING","Calls export queue API in live sessions","Review mode requires live branch operations session"
"Report Catalog","/reports/catalog","Edit report layout","DISABLED WITH REASON","Visible disabled action","Report layout authoring requires approved report-builder workflow"
"Saved Views","/reports/saved-views","Save current view","DISABLED WITH REASON","Visible disabled action","Saved-view persistence requires approved personalization workflow"
"Saved Views","/reports/saved-views","Share view","DISABLED WITH REASON","Visible disabled action","View sharing requires role-based publication workflow"
