ScreenId,Platform,Module,Name,Roles,Purpose,ReferenceUI
W001,Web,Platform,Login,All users,Secure sign-in with company/branch context and device registration,
W002,Web,Platform,Forgot Password / Reset,All users,Password reset and MFA recovery,
W003,Web,Platform,Company / Branch / Warehouse Switch,All users,Switch operating context without re-login,
W004,Web,Dashboards,Role Home Dashboard,All roles,First landing page with role-specific action cards and KPIs,
W005,Web,Platform,Global Search,All roles,"Search orders, items, BOMs, WOs, job cards, lots, customers",
W006,Web,Platform,Notification Center,All roles,"System alerts, approvals, and reminder inbox",
W007,Web,Platform,Approval Workbench,Managers,"Approve BOMs, releases, PO, holds, dispatch, AI drafts",
W008,Web,Platform,User Management,"PlatformAdmin, CompanyAdmin","Manage users, status, login policies, branch access",
W009,Web,Platform,Role & Permission Matrix,"PlatformAdmin, CompanyAdmin","Role templates, action rights, data scopes",
W010,Web,Platform,Language & Translation Setup,"PlatformAdmin, CompanyAdmin","Multi-language labels, field captions, message templates",
W011,Web,Platform,Numbering / Workflow Setup,CompanyAdmin,"Document series, statuses, approval steps, transitions",
W012,Web,Platform,Feature Flags & Tenant Settings,PlatformAdmin,Enable modules by customer deployment/company,
W020,Web,Organization,Company Master,CompanyAdmin,"Legal entities, tax/basic info, branding, working calendar",
W021,Web,Organization,Branch Master,CompanyAdmin,"Plants/branches, timezone, default warehouse, contacts",
W022,Web,Organization,Department Master,CompanyAdmin,"Sales, planning, production, QC, stores, dispatch etc.",
W023,Web,Organization,Warehouse Master,"CompanyAdmin, StoreKeeper","Warehouse types, branch mapping, WIP/FG/RM tagging",
W024,Web,Organization,Bin Master,"CompanyAdmin, StoreKeeper","Row/rack/bin structure, capacity, quarantine bins",
W025,Web,Organization,Shift Calendar,"CompanyAdmin, ProductionSupervisor","Shift pattern, holidays, overtime calendars",
W026,Web,Resources,Work Center Master,"CompanyAdmin, PlanningManager","Define centers, capacity rules, cost rates",
W027,Web,Resources,Machine Master,"CompanyAdmin, PlanningManager","Machine profile, current state, skill/operator rules",
W028,Web,Resources,Tool / Die / Mould Master,"CompanyAdmin, PlanningManager",Tool availability and planning dependency,
W029,Web,Measurements,UOM Class Master,CompanyAdmin,Count/weight/length/area/volume/time classes,
W030,Web,Measurements,UOM Conversion Master,CompanyAdmin,Fixed and formula-based conversions,
W031,Web,Measurements,Measurement Profile Master,CompanyAdmin,"Profiles for count-only, catch-weight, dimensional items",
W032,Web,Masters,Item Group / Category Master,CompanyAdmin,"Category taxonomy, defaults, reporting buckets",
W033,Web,Masters,Item Attribute Master,CompanyAdmin,"Size, grade, color, thickness, GSM, finish etc.",
W034,Web,Masters,Reason Codes & Status Rules,CompanyAdmin,"Pause, downtime, scrap, hold, reject, escalation reasons",
W040,Web,Items,Item List,"PlanningManager, StoreKeeper, SalesCoordinator",Search and filter all items with key status,
W041,Web,Items,Item Detail / Editor,"CompanyAdmin, PlanningManager","Full item master including measurement, stock, QC, costing placeholders",
W042,Web,Items,Item Variant Matrix,"CompanyAdmin, SalesCoordinator",Create/manage variant combinations,
W043,Web,Items,Barcode / Label Setup,"CompanyAdmin, StoreKeeper","Barcode types, print templates, scan rules",
W044,Web,Partners,Customer List,"SalesCoordinator, ManagementViewer",Browse customers with delivery and order exposure,
W045,Web,Partners,Customer Detail,SalesCoordinator,"Contacts, addresses, communication log, customer-specific notes",
W046,Web,Partners,Supplier List,PurchaseManager,Browse suppliers with lead-time and delay score,
W047,Web,Partners,Supplier Detail,PurchaseManager,"Contacts, supply categories, terms, performance placeholders",
W048,Web,Partners,Supplier Lead Time Matrix,"PurchaseManager, PlanningManager",Lead time by item/category/branch,
W049,Web,Platform,Attachment / Document Viewer,All roles,"View drawings, PDFs, photos linked to documents",
W050,Web,Sales,Estimate / Quote List,SalesCoordinator,Quote and cost estimate control for MTO/fabrication use cases,
W051,Web,Sales,Sales Order List,"SalesCoordinator, PlanningManager",Entry point to manufacturing demand,
W052,Web,Sales,Sales Order Detail,"SalesCoordinator, PlanningManager","Order lines, promise dates, specs, attachments, make type",
W053,Web,Sales,Blanket Order / Contract,SalesCoordinator,Recurring demand and schedule releases,
W054,Web,Sales,Demand Forecast,"SalesCoordinator, PlanningManager",Manual or imported forecast by period/item,
W055,Web,Planning,MPS Planner,PlanningManager,Master production schedule by item and period,
