"Area","EndpointOrObject","Status","Evidence","RemainingDependency"
"Integration providers","/api/integrations/providers","COMPLETE","Web client list/create/update wired; contracts added","Credential rotation remains external secret-store workflow"
"Integration connections","/api/integrations/connections","COMPLETE","Web client list wired for provider context","Connection credential updates remain server/admin policy"
"Provider health","/api/integrations/messages/provider-health","COMPLETE","Web client health view wired","External probe trigger remains server allow-list"
"Webhooks","/api/webhooks","COMPLETE","Web client list/create/update wired","Secret rotation remains external secret-store workflow"
"Webhook dispatch","/api/webhooks/dispatch","COMPLETE","Web client dispatch test wired","Delivery retries remain backend worker controlled"
"Import jobs","/api/imports","COMPLETE","Web client list/create/status update wired","Binary staging/upload scanner remains future workflow"
"Export jobs","/api/exports","COMPLETE","Web client list/create/status update wired","Signed URL download remains future storage workflow"
"Outbound messages","/api/integrations/messages/preview and /queue","COMPLETE","Web client preview and queue actions wired","Provider delivery retries remain backend worker controlled"
"AI assistant","/api/ai/assistant/plan","COMPLETE","Web client grounded plan action wired","Operational write-back remains disabled"
"AI drafts","/api/ai/drafts and /api/ai/translations/draft","COMPLETE","Web client draft and translation draft actions wired","Human review publish flow remains future workflow"
"Integration/AI SQL","database/ddl/00-foundation/020_integration_ai_tables.sql","COMPLETE","Existing additive DDL retained and included in review pack","No destructive schema change"
"Mobile coverage","src/mobile/test/mobile-action-flow-coverage.json","REVERIFIED","Mobile coverage-plan validation executed","Native device camera/barcode/voice integrations remain later device work"
