"ScreenName","Route","FilePath","Domain","ActionName","ActionType","CurrentBehavior","ExpectedBehavior","ModalPattern","LookupFieldsAffected","Status","FixApplied","RemainingDependency"
"User Management","/admin/users","/src/web/src/pages/AdminPages.tsx","Platform Admin","Invite user","new","Previously appeared as an active platform action","Disabled with business-safe reason until identity invitation workflow is enabled","center modal","Login policy; branch scope; device trust","PASS","Action moved to ErpActionBar with disabled reason; user detail uses ErpModalWorkspace and controlled selects","Identity invitation workflow"
"User Management","/admin/users","/src/web/src/pages/AdminPages.tsx","Platform Admin","Save access policy","save","Access save could look available from review surface","Disabled with business-safe reason until policy workflow is enabled","center modal","Login policy; branch scope; device trust","PASS","Footer action is disabled with reason inside centered modal","Access policy mutation endpoint"
"Role Matrix","/admin/roles","/src/web/src/pages/AdminPages.tsx","Platform Admin","Create custom role","new","Previously appeared as an active platform action","Disabled with business-safe reason until role workflow is enabled","center modal","Role template; permission family","PASS","Action moved to ErpActionBar with disabled reason; role detail uses ErpModalWorkspace","Custom role authoring workflow"
"Role Matrix","/admin/roles","/src/web/src/pages/AdminPages.tsx","Platform Admin","Clone role template","new","Role clone action could look active in detail","Disabled with business-safe reason until template workflow is enabled","center modal","Role template; permission family","PASS","Footer actions are disabled with reasons inside centered modal","Role template mutation endpoint"
"Translation Governance","/platform/translations","/src/web/src/pages/MasterPages.tsx","Platform","New translation","new","Creation action could look active from list","Disabled with business-safe reason until localization workflow is enabled","center modal","Locale; namespace","PASS","Action moved to ErpActionBar with disabled reason; detail uses ErpModalWorkspace","Localization write workflow"
"Workflow Designer","/platform/workflows","/src/web/src/pages/MasterPages.tsx","Platform","New workflow draft","new","Draft action could look active without workflow authoring","Disabled with business-safe reason until workflow authoring is enabled","center modal","Trigger; owner role","PASS","Action moved to ErpActionBar with disabled reason; detail uses ErpModalWorkspace","Workflow authoring service"
"Tenant Settings","/platform/tenant-settings","/src/web/src/pages/MasterPages.tsx","Platform","Save tenant settings","save","Settings save could look active from tenant detail","Disabled with business-safe reason until governance workflow is enabled","center modal","Feature flag group","PASS","Footer actions are disabled with reasons inside centered modal","Tenant settings mutation workflow"
"Company Master","/organization/companies","/src/web/src/pages/OrganizationPages.tsx","Organization","New company","new","Create action could look active","Disabled with business-safe reason until organization approval workflow is enabled","center modal","Currency; calendar","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace and ErpLookupField","Organization approval workflow"
"Branch Master","/organization/branches","/src/web/src/pages/OrganizationPages.tsx","Organization","New branch","new","Create action could look active","Disabled with business-safe reason until branch approval workflow is enabled","center modal","Company; region; warehouse","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace","Branch mutation workflow"
"Department Master","/organization/departments","/src/web/src/pages/OrganizationPages.tsx","Organization","New department","new","Create action could look active","Disabled with business-safe reason until department workflow is enabled","center modal","Department type; branch","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace and controlled selects","Department mutation workflow"
"Warehouse Master","/organization/warehouses","/src/web/src/pages/OrganizationPages.tsx","Organization","New warehouse","new","Create action could look active","Disabled with business-safe reason until warehouse workflow is enabled","center modal","Branch; warehouse type","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace and ErpLookupField","Warehouse mutation workflow"
"Bin Master","/organization/bins","/src/web/src/pages/OrganizationPages.tsx","Organization","New bin","new","Create action could look active","Disabled with business-safe reason until bin workflow is enabled","center modal","Warehouse; bin zone","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace","Bin mutation workflow"
"Shift Master","/organization/shifts","/src/web/src/pages/OrganizationPages.tsx","Organization","New shift","new","Create action could look active","Disabled with business-safe reason until shift workflow is enabled","center modal","Branch; calendar","PASS","Action moved to ErpActionBar; editor uses ErpModalWorkspace","Shift mutation workflow"
"Quote Estimates","/sales/quotes","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","New quote draft","new","Draft action could look active","Disabled with business-safe reason until commercial workflow is enabled","center modal","Customer; priority","PASS","Action moved to ErpActionBar with reason; detail uses ErpModalWorkspace and ErpLookupField","Quote draft workflow"
"Quote Estimates","/sales/quotes","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","Save quote draft","save","Detail save could look active from review modal","Disabled with business-safe reason until quote save is enabled","center modal","Customer; priority","PASS","Footer save disabled with reason","Quote save endpoint"
"Sales Orders","/sales/orders","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","New sales order","new","Create action could look active","Disabled with business-safe reason until order entry is enabled","center modal","Customer; order status","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Sales order entry workflow"
"Sales Orders","/sales/orders","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","Release order","save","Release action could look active from review modal","Disabled with business-safe reason until order release is enabled","center modal","Customer; order status","PASS","Footer release disabled with reason","Sales order release workflow"
"Blanket Orders","/sales/blankets","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","New blanket order","new","Create action could look active","Disabled with business-safe reason until contract workflow is enabled","center modal","Customer; horizon","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","Blanket contract workflow"
"Forecasts","/planning/forecast","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","Import forecast","upload","Import action could look active","Disabled with business-safe reason until forecast import is enabled","none","Customer; item group","PASS","Action moved to ErpActionBar with disabled reason","Forecast import service"
"Master Production Schedule","/planning/mps","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","New MPS","new","Create action could look active","Disabled with business-safe reason until MPS drafting is enabled","center modal","Horizon; bucket","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace","MPS draft workflow"
"Available to Promise","/sales/atp","/src/web/src/pages/CommercialPlanningPages.tsx","Commercial Planning","Run ATP simulation","preview","Simulation action could look active","Disabled with business-safe reason until ATP simulation is enabled","none","Item; customer; warehouse","PASS","Action moved to ErpActionBar with disabled reason","ATP simulation service"
"Purchase Requisitions","/procurement/requisitions","/src/web/src/pages/ProcurementPages.tsx","Procurement","New PR draft","new","Draft action could look active","Disabled with business-safe reason until procurement workflow is enabled","center modal","Supplier; status","PASS","Action moved to ErpActionBar; detail uses ErpModalWorkspace and ErpLookupField","Procurement requisition workflow"
