ScreenId,Platform,Module,Name,Roles,Purpose,PromptFile,ExecutionGroup,SuggestedCluster
W001,Web,Platform,Login,All users,Secure sign-in with company/branch context and device registration,screen-prompts/W001_login.md,Platform,
W002,Web,Platform,Forgot Password / Reset,All users,Password reset and MFA recovery,screen-prompts/W002_forgot-password-reset.md,Platform,
W003,Web,Platform,Company / Branch / Warehouse Switch,All users,Switch operating context without re-login,screen-prompts/W003_company-branch-warehouse-switch.md,Platform,
W004,Web,Dashboards,Role Home Dashboard,All roles,First landing page with role-specific action cards and KPIs,screen-prompts/W004_role-home-dashboard.md,Dashboards,
W005,Web,Platform,Global Search,All roles,"Search orders, items, BOMs, WOs, job cards, lots, customers",screen-prompts/W005_global-search.md,Platform,
W006,Web,Platform,Notification Center,All roles,"System alerts, approvals, and reminder inbox",screen-prompts/W006_notification-center.md,Platform,
W007,Web,Platform,Approval Workbench,Managers,"Approve BOMs, releases, PO, holds, dispatch, AI drafts",screen-prompts/W007_approval-workbench.md,Platform,
W008,Web,Platform,User Management,"PlatformAdmin, CompanyAdmin","Manage users, status, login policies, branch access",screen-prompts/W008_user-management.md,Platform,
W009,Web,Platform,Role & Permission Matrix,"PlatformAdmin, CompanyAdmin","Role templates, action rights, data scopes",screen-prompts/W009_role-permission-matrix.md,Platform,
W010,Web,Platform,Language & Translation Setup,"PlatformAdmin, CompanyAdmin","Multi-language labels, field captions, message templates",screen-prompts/W010_language-translation-setup.md,Platform,
W011,Web,Platform,Numbering / Workflow Setup,CompanyAdmin,"Document series, statuses, approval steps, transitions",screen-prompts/W011_numbering-workflow-setup.md,Platform,
W012,Web,Platform,Feature Flags & Tenant Settings,PlatformAdmin,Enable modules by customer deployment/company,screen-prompts/W012_feature-flags-tenant-settings.md,Platform,
W020,Web,Organization,Company Master,CompanyAdmin,"Legal entities, tax/basic info, branding, working calendar",screen-prompts/W020_company-master.md,Organization,
W021,Web,Organization,Branch Master,CompanyAdmin,"Plants/branches, timezone, default warehouse, contacts",screen-prompts/W021_branch-master.md,Organization,
W022,Web,Organization,Department Master,CompanyAdmin,"Sales, planning, production, QC, stores, dispatch etc.",screen-prompts/W022_department-master.md,Organization,
W023,Web,Organization,Warehouse Master,"CompanyAdmin, StoreKeeper","Warehouse types, branch mapping, WIP/FG/RM tagging",screen-prompts/W023_warehouse-master.md,Organization,
W024,Web,Organization,Bin Master,"CompanyAdmin, StoreKeeper","Row/rack/bin structure, capacity, quarantine bins",screen-prompts/W024_bin-master.md,Organization,
W025,Web,Organization,Shift Calendar,"CompanyAdmin, ProductionSupervisor","Shift pattern, holidays, overtime calendars",screen-prompts/W025_shift-calendar.md,Organization,
W026,Web,Resources,Work Center Master,"CompanyAdmin, PlanningManager","Define centers, capacity rules, cost rates",screen-prompts/W026_work-center-master.md,Resources,
W027,Web,Resources,Machine Master,"CompanyAdmin, PlanningManager","Machine profile, current state, skill/operator rules",screen-prompts/W027_machine-master.md,Resources,
W028,Web,Resources,Tool / Die / Mould Master,"CompanyAdmin, PlanningManager",Tool availability and planning dependency,screen-prompts/W028_tool-die-mould-master.md,Resources,
W029,Web,Measurements,UOM Class Master,CompanyAdmin,Count/weight/length/area/volume/time classes,screen-prompts/W029_uom-class-master.md,Measurements,
W030,Web,Measurements,UOM Conversion Master,CompanyAdmin,Fixed and formula-based conversions,screen-prompts/W030_uom-conversion-master.md,Measurements,
W031,Web,Measurements,Measurement Profile Master,CompanyAdmin,"Profiles for count-only, catch-weight, dimensional items",screen-prompts/W031_measurement-profile-master.md,Measurements,
W032,Web,Masters,Item Group / Category Master,CompanyAdmin,"Category taxonomy, defaults, reporting buckets",screen-prompts/W032_item-group-category-master.md,Masters,
W033,Web,Masters,Item Attribute Master,CompanyAdmin,"Size, grade, color, thickness, GSM, finish etc.",screen-prompts/W033_item-attribute-master.md,Masters,
W034,Web,Masters,Reason Codes & Status Rules,CompanyAdmin,"Pause, downtime, scrap, hold, reject, escalation reasons",screen-prompts/W034_reason-codes-status-rules.md,Masters,
W040,Web,Items,Item List,"PlanningManager, StoreKeeper, SalesCoordinator",Search and filter all items with key status,screen-prompts/W040_item-list.md,Items,
W041,Web,Items,Item Detail / Editor,"CompanyAdmin, PlanningManager","Full item master including measurement, stock, QC, costing placeholders",screen-prompts/W041_item-detail-editor.md,Items,
W042,Web,Items,Item Variant Matrix,"CompanyAdmin, SalesCoordinator",Create/manage variant combinations,screen-prompts/W042_item-variant-matrix.md,Items,
W043,Web,Items,Barcode / Label Setup,"CompanyAdmin, StoreKeeper","Barcode types, print templates, scan rules",screen-prompts/W043_barcode-label-setup.md,Items,
W044,Web,Partners,Customer List,"SalesCoordinator, ManagementViewer",Browse customers with delivery and order exposure,screen-prompts/W044_customer-list.md,Partners,
W045,Web,Partners,Customer Detail,SalesCoordinator,"Contacts, addresses, communication log, customer-specific notes",screen-prompts/W045_customer-detail.md,Partners,
W046,Web,Partners,Supplier List,PurchaseManager,Browse suppliers with lead-time and delay score,screen-prompts/W046_supplier-list.md,Partners,
W047,Web,Partners,Supplier Detail,PurchaseManager,"Contacts, supply categories, terms, performance placeholders",screen-prompts/W047_supplier-detail.md,Partners,
W048,Web,Partners,Supplier Lead Time Matrix,"PurchaseManager, PlanningManager",Lead time by item/category/branch,screen-prompts/W048_supplier-lead-time-matrix.md,Partners,
W049,Web,Platform,Attachment / Document Viewer,All roles,"View drawings, PDFs, photos linked to documents",screen-prompts/W049_attachment-document-viewer.md,Platform,
W050,Web,Sales,Estimate / Quote List,SalesCoordinator,Quote and cost estimate control for MTO/fabrication use cases,screen-prompts/W050_estimate-quote-list.md,Sales,
W051,Web,Sales,Sales Order List,"SalesCoordinator, PlanningManager",Entry point to manufacturing demand,screen-prompts/W051_sales-order-list.md,Sales,
W052,Web,Sales,Sales Order Detail,"SalesCoordinator, PlanningManager","Order lines, promise dates, specs, attachments, make type",screen-prompts/W052_sales-order-detail.md,Sales,
W053,Web,Sales,Blanket Order / Contract,SalesCoordinator,Recurring demand and schedule releases,screen-prompts/W053_blanket-order-contract.md,Sales,
W054,Web,Sales,Demand Forecast,"SalesCoordinator, PlanningManager",Manual or imported forecast by period/item,screen-prompts/W054_demand-forecast.md,Sales,
W055,Web,Planning,MPS Planner,PlanningManager,Master production schedule by item and period,screen-prompts/W055_mps-planner.md,Planning,
W056,Web,Sales,Available to Promise / Order Promise,"SalesCoordinator, PlanningManager",Committed date using material + capacity logic,screen-prompts/W056_available-to-promise-order-promise.md,Sales,
W057,Web,Dashboards,Order Delivery Dashboard,"ManagementViewer, SalesCoordinator, PlantHead",Customer-order risk view with progress % and next actions,screen-prompts/W057_order-delivery-dashboard.md,Dashboards,
W060,Web,Engineering,BOM Library,"PlanningManager, Engineering, PlantHead",Search revisions and statuses of BOMs,screen-prompts/W060_bom-library.md,Engineering,
W061,Web,Engineering,BOM Detail / Editor,"PlanningManager, Engineering","Tree view editor for components, scrap%, issue method, operations",screen-prompts/W061_bom-detail-editor.md,Engineering,
W062,Web,Engineering,BOM Comparison,"PlanningManager, Engineering",Compare revisions/variants and cost/qty differences,screen-prompts/W062_bom-comparison.md,Engineering,
W063,Web,Engineering,ECO / Revision Control,"Engineering, CompanyAdmin",Approve and release revision changes with audit,screen-prompts/W063_eco-revision-control.md,Engineering,
W064,Web,Engineering,Routing Library,PlanningManager,Reusable routings and operation sequences,screen-prompts/W064_routing-library.md,Engineering,
W065,Web,Engineering,Operation Standard & Cycle Times,PlanningManager,"Setup, run, teardown, overlap, skill and QC flags",screen-prompts/W065_operation-standard-cycle-times.md,Engineering,
W066,Web,Planning,BOQ / Requirements,"PlanningManager, PurchaseManager",Net requirements after explosion and stock netting with action overrides,screen-prompts/W066_boq-requirements.md,Planning,
W067,Web,Planning,MRP Run Console,PlanningManager,"Run, review, and version MRP calculations",screen-prompts/W067_mrp-run-console.md,Planning,
W068,Web,Planning,MRP Results / Exceptions,PlanningManager,"Shortages, late items, missing data, recommended actions",screen-prompts/W068_mrp-results-exceptions.md,Planning,
W069,Web,Planning,Capacity Planning Board,"PlanningManager, PlantHead",RCCP/CRP by machine/work center/shift,screen-prompts/W069_capacity-planning-board.md,Planning,
W070,Web,Engineering,Alternate Item / Replacement Rules,"PlanningManager, PurchaseManager",Approved substitutions and precedence,screen-prompts/W070_alternate-item-replacement-rules.md,Engineering,
W071,Web,Procurement,Subcontract / Outside Processing Plan,"PurchaseManager, PlanningManager",Send-out and receive-back planning for external operations,screen-prompts/W071_subcontract-outside-processing-plan.md,Procurement,
W080,Web,Production,Work Orders List,"PlanningManager, ProductionSupervisor","List, release, re-release, and monitor WOs",screen-prompts/W080_work-orders-list.md,Production,
