"Area","Item","RouteOrPath","Type","BaselineState","FinalState","Evidence","Notes"
"Inventory","Inventory Balance","/inventory/balances","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS06/inventory-balances-top.png","Live session source fallback is truthful; export/navigation actions remain disabled with reasons."
"Inventory","Traceability","/inventory/traceability","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS06/traceability-top.png","Traceability remains read/inspect with no fake seeded live fallback."
"Inventory","Material Issue","/inventory/material-issue","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS06/material-issue-top.png","Posting remains explicitly disabled where inventory transaction workflow is outside the WS06 closeout slice."
"Inventory","Material Return","/inventory/material-return","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS06/material-return-top.png","Return screen keeps governed item/location/quantity context and truthful disabled actions."
"Inventory","Stock Transfer / Putaway","/inventory/stock-transfer","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS06/stock-transfer-top.png","Transfer draft and movement slip actions are disabled with clear reasons."
"Inventory","Cycle Count","/inventory/cycle-counts","Screen/API client","PARTIAL","COMPLETE","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS06InventoryQualityDispatchDocuments.test.tsx; docs/codex-review-screens/WS06/cycle-count-modal-top.png","Existing count sheets now open in a centered workspace and save/post through live cycle-count APIs when signed in."
"Quality","QC Plan Setup","/quality/plans","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/QualityPages.tsx; docs/codex-review-screens/WS06/qc-plan-setup-top.png","Plan setup remains governed/readable with no new dead action."
"Quality","Incoming Inspection","/quality/incoming-inspections","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/QualityPages.tsx; docs/codex-review-screens/WS06/incoming-inspection-top.png","Inspection rows no longer imply seeded live data on live failure; creation/save remain disabled with reasons."
"Quality","In-Process Inspection","/quality/in-process-inspections","Screen/API client","PARTIAL","COMPLETE","src/web/src/pages/QualityPages.tsx; src/web/src/api/http.ts; docs/codex-review-screens/WS06/inspection-release-modal-top.png","Hold/release decisions now call live inspection endpoints when signed in and valid."
"Quality","Final Inspection","/quality/final-inspections","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/QualityPages.tsx; docs/codex-review-screens/WS06/final-inspection-top.png","Final inspection uses the same governed decision workspace pattern."
"Quality","NCR / Deviation","/quality/ncr","Screen/API client","PARTIAL","COMPLETE","src/web/src/pages/QualityPages.tsx; src/web/src/api/http.ts; docs/codex-review-screens/WS06/ncr-close-modal-top.png","Close NCR now uses the live NCR close endpoint; disposition/release remains guarded."
"Dispatch","Pack List","/dispatch/pack-lists","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/DispatchPages.tsx; docs/codex-review-screens/WS06/pack-list-modal-top.png","Pack detail uses centered workspace and keeps unsupported save/print actions disabled with reasons."
"Dispatch","Dispatch Planning","/dispatch/planning","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/DispatchPages.tsx; docs/codex-review-screens/WS06/dispatch-planning-top.png","Planning queue remains route-valid with dispatch-wave planning disabled until workflow enablement."
"Dispatch","Shipment / Delivery","/dispatch/shipments","Screen/API client","PARTIAL","COMPLETE","src/web/src/pages/DispatchPages.tsx; src/web/src/api/http.ts; docs/codex-review-screens/WS06/shipment-proof-modal-top.png","Shipment proof status now saves through live API and document upload stays tied to shipment proof records."
"Documents","Attachment / Document Viewer","/platform/attachments","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/CommercialPlanningPages.tsx; docs/codex-review-screens/WS06/attachment-viewer-top.png","Attachment viewer remains live-only for upload/download with explicit unavailable states."
"Documents","Engineering Attachment / Document Viewer","/engineering/documents","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS06/engineering-documents-top.png","Engineering document linking remains routed through the shared attachment workflow."
"Documents","Print Pack / Traveler / Labels","/reports/print-pack","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PrintPackPage.tsx; docs/codex-review-screens/WS06/print-pack-top.png","Document output surface remains inspectable with unsupported print/export actions guarded."
"Host publish","IIS web assets","src/server/STS.Mfg.Host/wwwroot","Publish output","STALE FROM PRIOR BUILD","COMPLETE","src/server/STS.Mfg.Host/wwwroot/index.html; src/server/STS.Mfg.Host/wwwroot/assets/index-DbFPTGpG.js","Publish-folder web assets refreshed through npm build:host and dotnet publish."
