"ScreenId","Screen","Route","CurrentQuality","MissingActions","MissingSections","MissingLookupControls","MissingPersistence","Acceptable"
"W001","Login","/login","SHALLOW / PARTIAL","Session/device hardening actions not complete","Device/session policy, stale-token diagnostics","Company/branch selectors need hardened source rules","Bootstrap identity backed, production auth depth partial","INTERNAL_ONLY"
"W002","Forgot Password / Reset","/forgot-password","SHALLOW / PARTIAL","Reset completion and provider send incomplete","Reset completion, token expiry review, delivery audit","N/A","Provider-backed reset persistence partial","INTERNAL_ONLY"
"W003","Company / Branch / Warehouse Switch","/platform/context-switch","SHALLOW / LIVE","Warehouse preference and mobile queue guard incomplete","Recent contexts, warehouse defaults, invalid-context handling","Warehouse selector needs fully reliable source","Company/branch live; warehouse depth partial","INTERNAL_ONLY"
"W004","Role Home Dashboard","/","SHALLOW / PARTIAL","Dashboard drilldown/task actions partial","Role task composition, owner queues, live blockers","Role/context-driven filters need stronger controlled sources","Dashboard read models partial","INTERNAL_ONLY"
"W005","Global Search","/search","MISSING","All search actions missing","Global search screen, filters, result grouping, security scope","All controlled filters missing","No API/index/read model","NO"
"W006","Notification Center","/platform/notifications","SHALLOW / LIVE","Provider delivery actions partial","Delivery history, retries, templates, channel status","Notification filters need governed user/source options","Inbox live; provider persistence partial","INTERNAL_ONLY"
"W007","Approval Workbench","/platform/approvals","SHALLOW / LIVE","Delegation/comment/history actions partial","Approval comments, delegation, history, source impact","Approver/workflow filters need governed source","Approval live; workflow/audit depth partial","INTERNAL_ONLY"
"W008","User Management","/platform/users","SHALLOW / PARTIAL","Invite, reset, export, custom-role actions disabled","User lifecycle, device/MFA, activation blockers, audit","Role/scope selectors need full governed source","User write/device lifecycle partial","INTERNAL_ONLY"
"W009","Role & Permission Matrix","/platform/roles","SHALLOW / PARTIAL","Save/export/template actions disabled","Action scope, data scope, mobile permissions, audit","Permission/action source selectors need full governance","Permission model partial","INTERNAL_ONLY"
"W010","Language & Translation Setup","/platform/language","SHALLOW / PARTIAL","Publish/review actions incomplete","Translation review, publish workflow, history","Language selectors need governed source","Localization persistence partial","INTERNAL_ONLY"
"W011","Numbering / Workflow Setup","/platform/workflow-numbering","SHALLOW / PARTIAL","Save/publish workflow actions partial","Workflow versioning, transition matrix, numbering locks","Document/status/action lookup sources incomplete","Workflow/numbering persistence partial","INTERNAL_ONLY"
"W012","Feature Flags & Tenant Settings","/platform/tenant-settings","SHALLOW / PARTIAL","Publish/audit actions partial","Tenant settings versions, feature flag audit, environment controls","Company/branch setting sources partial","Settings persistence partial","INTERNAL_ONLY"
"W020","Company Master","/organization/companies","SHALLOW / LIVE","Create/update/deactivate dependency actions partial","Legal identity, contacts, calendars, audit","Country/tax/calendar lookups need depth","Company core live; extension depth partial","INTERNAL_ONLY"
"W021","Branch Master","/organization/branches","SHALLOW / LIVE","Create/update/deactivate dependency actions partial","Default warehouse, contacts, calendars, branch policies","Warehouse/contact/calendar lookups need depth","Branch core live; extension depth partial","INTERNAL_ONLY"
"W022","Department Master","/organization/departments","SHALLOW / LIVE","Dependency-aware deactivate partial","Manager mapping, user assignment, audit","User/manager lookup depth partial","Department core live","INTERNAL_ONLY"
"W023","Warehouse Master","/organization/warehouses","SHALLOW / PARTIAL","Policy and deactivate actions partial","Warehouse policy, capacity, zones, audit","Branch/bin policy lookups need depth","Runtime endpoint repaired in LONG-RUN-01; warehouse policy/capacity/deactivate depth partial","INTERNAL_ONLY"
"W024","Bin Master","/organization/bins","SHALLOW / LIVE","Barcode/capacity/dependency actions partial","Bin hierarchy, capacity, barcode, zone, audit","Warehouse/bin parent lookups need depth","Bin core live; extension depth partial","INTERNAL_ONLY"
"W025","Shift Calendar","/organization/shifts","SHALLOW / LIVE","Publish/exception actions partial","Shift exceptions, cross-midnight rules, calendar versions","Branch/work-center/crew lookups need depth","Shift core live; calendar depth partial","INTERNAL_ONLY"
"W026","Work Center Master","/resources/work-centers","MISSING","All work-center UI actions missing","Work center setup, capacity, activation, audit","Resource lookups missing from UI","Backend exists; no web route","NO"
"W027","Machine Master","/resources/machines","MISSING","All machine setup UI actions missing","Machine setup, status, calendar, capacity, audit","Work center/machine lookups missing from UI","Backend exists; no web route","NO"
"W028","Tool / Die / Mould Master","/resources/tools","MISSING","All tool/resource UI actions missing","Tool setup, assignment, maintenance, audit","Resource/tool lookups missing from UI","Backend exists; no web route","NO"
"W029","UOM Class Master","/measurements/uom-classes","SHALLOW / PARTIAL","Dependency-aware actions partial","Activation blockers, usage impact, audit","UOM class selectors mostly present but shallow","Live API; dependency persistence partial","INTERNAL_ONLY"
"W030","UOM Conversion Master","/measurements/uom-conversions","SHALLOW / PARTIAL","Formula/impact actions partial","Formula editor, item impact, approval, audit","UOM/source selectors need stronger validation","Live API; formula depth partial","INTERNAL_ONLY"
"W031","Measurement Profile Master","/measurements/profiles","SHALLOW / PARTIAL","Profile activation actions partial","Catch-weight rules, dimensional formulas, item policy impact","UOM/profile lookups need stronger validation","Live API; downstream persistence partial","INTERNAL_ONLY"
"W032","Item Group / Category Master","/masters/item-groups","SHALLOW / FALLBACK","Create/import/export/dependency actions partial","Hierarchy, defaults, required attributes, activation blockers","Category/default lookup sources partial","Fallback/partial API persistence","INTERNAL_ONLY"
"W033","Item Attribute Master","/masters/item-attributes","SHALLOW / FALLBACK","Attribute lifecycle actions partial","Data type, allowed values, variant dimension, category rules","UOM/category lookup sources partial","Fallback/partial persistence","INTERNAL_ONLY"
"W034","Reason Codes & Status Rules","/masters/reason-codes","SHALLOW / FALLBACK","Status-rule actions partial","Reason applicability, status transitions, approval rules","Transaction/status lookup sources partial","Fallback/partial persistence","INTERNAL_ONLY"
"W040","Item List","/masters/items","DEMO-LIKE / PARTIAL","New/export/dependency actions disabled or partial","Readiness KPIs, saved views, activation blockers","Group/UOM/warehouse/QC/commercial lookups need complete sources","Item API exists; V2 depth partial","NO"
"W041","Item Detail / Editor","/masters/items","DEMO-LIKE / PARTIAL","Many save/publish/media actions disabled or partial","Full V2 item tabs: media, catalog, packaging, specs, policies, docs, audit","Controlled item/UOM/group/warehouse/customer/supplier/QC lookups incomplete","V2 item extension persistence partial","NO"
"W042","Item Variant Matrix","/masters/item-variants","SHALLOW / PARTIAL","Generate/approve/export actions partial","Template inheritance, option matrix, alias, audit","Attribute/UOM/template lookups need depth","Variant persistence partial","INTERNAL_ONLY"
"W043","Barcode / Label Setup","/masters/barcodes","SHALLOW / PARTIAL","Label print/preview/save actions partial","Label templates, scan rules, uniqueness, audit","Item/UOM/template lookup sources incomplete","Barcode persistence partial; label templates partial","INTERNAL_ONLY"
"W044","Customer List","/partners/customers","DEMO-LIKE / PARTIAL","New/export/detail actions partial","Credit/site/contact/document/readiness KPIs","Customer segment/terms/currency lookups incomplete","Runtime customer API reads repaired in LONG-RUN-01; partner depth partial","INTERNAL_ONLY"
"W045","Customer Detail","/partners/customers","DEMO-LIKE / PARTIAL","Save sites/contacts/docs/terms actions partial","Legal, sites, contacts, credit, preferences, docs, audit","Terms/currency/tax/site/contact lookups incomplete","Runtime customer API reads repaired in LONG-RUN-01; V2 profile depth partial","INTERNAL_ONLY"
"W046","Supplier List","/partners/suppliers","DEMO-LIKE / PARTIAL","New/export/detail actions partial","Compliance/site/contact/performance/readiness KPIs","Supplier category/terms/currency lookups incomplete","Runtime supplier API reads repaired in LONG-RUN-01; partner depth partial","INTERNAL_ONLY"
