"Item","BaselineState","FinalState","Evidence","Notes"
"UDF definition API","MISSING","COMPLETE","/api/platform/udf-definitions","List/create/update with validation and audit writes."
"UDF value API","MISSING","COMPLETE","/api/platform/udf-values/{entityType}/{entityId}","List/upsert with definition validation and audit writes."
"Permission catalog API","MISSING","COMPLETE","/api/permissions","Role setup can read platform permission catalog."
"User access-policy API","MISSING","COMPLETE","/api/users/{id}/access-policy","Updates user policy and role assignments with audit."
"User reset request API","MISSING","COMPLETE","/api/users/{id}/reset-request","Records reset-request state with audit."
"Role create/update/clone API","MISSING","COMPLETE","/api/roles","Create/update/clone writes role permissions with audit."
"Workflow rule API","MISSING","COMPLETE","/api/settings/workflow-rules","Creates/updates workflow and document series."
"Tenant setting API","MISSING","COMPLETE","/api/settings/tenant-settings/{id}","Updates tenant setting value/status with audit."
"Translation resource API","MISSING","COMPLETE","/api/localization/resources","Upserts translation resource with audit."
"UDF DDL","MISSING","COMPLETE","database/ddl/00-foundation/004_platform_extensibility_tables.sql","Forward-only platform UDF tables and indexes."
