"RowType","Id","Domain","Workstream","Capability","CurrentState","WorkstreamClassification","GapClassification","DemoCritical","UATCritical","PilotCritical","Backlog","WhyIncomplete","GapType","RequiredFix","Priority","RecommendedNextWorkstream","ProductOwnerDecisionRequired"
"Workstream","WS01","Runtime / UAT / Seed Truth","WS01","Runtime console, UAT links, seeded data truth","Complete for touched scope","Complete for touched scope","Complete for touched scope","Yes","Yes","Yes","No","Remaining acceptance requires role-wise business execution, not runtime shell work.","Product gap","Complete role-wise UAT and irreversible workflow acceptance.","P0","WS11-UAT-CLOSURE","No"
"Workstream","WS02","Platform / Security / Admin / Extensibility","WS02","Admin, security, UDF foundation","Complete for touched scope","Complete for touched scope","Backlog depth remains","Yes","Yes","Yes","Yes","External identity delivery, reset delivery, and broad UDF embedding remain beyond completed foundation.","Product gap and scope decision","Keep disabled external delivery honest; decide broader UDF/customization scope.","P1","WS02-FOLLOWUP","Yes"
"Workstream","WS03","Master / Resource / Commercial Foundation","WS03","Master/resource/commercial setup","Complete for touched scope","Complete for touched scope","Backlog depth remains","Yes","Yes","Yes","Yes","Core setup is usable; reason/classification persistence and commercial approvals/versioning need deeper lifecycle work.","Product gap","Add controlled persistence and approval/version lifecycle where needed.","P2","WS03-FOLLOWUP","No"
"Workstream","WS04","Engineering / Planning","WS04","BOM, routing, MPS, MRP, capacity","Complete for touched scope; partial for full depth","Partial","Pilot-critical depth remains","Yes","Yes","Yes","Yes","MPS create/save exists, but MRP compare/archive, capacity writeback, and ATP/forecast depth are incomplete.","Product gap","Finish planning lifecycle, exception ownership, and capacity writeback.","P1","WS04-FOLLOWUP","No"
"Workstream","WS05","Production / Shop Floor Execution","WS05","Work orders, job cards, shop floor posting","Complete for touched scope; partial for full posting","Partial","Pilot-critical depth remains","Yes","Yes","Yes","Yes","Job-card execution exists, but WO release, job-card generation, receipt, issue, scrap, and rework posting remain incomplete.","Product gap","Implement production release and posting lifecycle.","P0","WS05-FOLLOWUP","No"
"Workstream","WS06","Inventory / Quality / Dispatch / Documents","WS06","Inventory, QC, NCR, dispatch, documents","Complete for touched scope; partial for full closeout","Partial","Pilot-critical depth remains","Yes","Yes","Yes","Yes","Cycle count, hold/release, NCR close, and shipment proof status exist, but full posting, inspection, disposition, and shipment closeout remain.","Product gap","Finish inventory posting, quality execution, and dispatch finalization.","P0","WS06-FOLLOWUP","No"
"Workstream","WS07","Mobile / Integrations / AI / Reporting","WS07","Mobile, providers, AI, reporting","Complete for touched scope; partial for full domain","Partial","Pilot-critical depth remains","Yes","Yes","Yes","Yes","Native mobile capture/sync, real provider delivery, CRM sync, AI writeback, and builders are incomplete.","Product gap and scope decision","Complete live mobile/provider essentials and decide builder/AI/CRM scope.","P1","WS07-FOLLOWUP","Yes"
"Workstream","WS08","Finance / Accounting / GL / AP / AR","WS08","Full finance/accounting","Out of V1 scope; blocked","Out of V1 scope","V1 exclusion","No","No","No","Yes","V1 guardrails exclude full accounting.","V1 scope exclusion","Keep excluded or approve scope expansion with accounting roadmap.","P3","SCOPE-DECISION","Yes"
"Workstream","WS09","Procure-to-Pay Deepening","WS09","Full procure-to-pay","Partial; blocked for full P2P","Partial","Blocked for full P2P","Yes","Yes","Yes","Yes","PR, PO, and subcontract exist; RFQ, quote comparison, GRN, invoice, payment, landed cost, and returns are missing.","Product gap and V1 scope exclusion","Complete operational P2P slice; decide accounting-dependent scope.","P1","WS09-FOLLOWUP","Yes"
"Workstream","WS10","Service / Warranty / AMC","WS10","Service, warranty, AMC","Out of V1 scope; blocked","Out of V1 scope","Missing by V1 exclusion","No","No","No","Yes","No route/API/screen foundation exists because service is outside V1.","V1 scope exclusion","Keep backlog or approve service module scope.","P3","SCOPE-DECISION","Yes"
