ActionId,Domain,ScreenName,Route,FilePath,ActionLabel,ActionType,CurrentState,ExpectedState,BackendAvailable,CurrentUiPattern,RequiredFix,FinalStateAfterThisWave,CompletionGate,ReviewerCheck,Notes
ACT-0001,Platform,RolePermissionMatrixPage,/platform/roles,/src/web/src/pages/AdminPages.tsx,Clone role,clone,disabled,DISABLED WITH REASON,No,ErpActionBar + ErpModalWorkspace,Retained the disabled state because role cloning requires custom-role governance approval.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Visible reason is shown in the centered role workspace.
ACT-0002,Platform,RolePermissionMatrixPage,/platform/roles,/src/web/src/pages/AdminPages.tsx,Create custom role,create,disabled,DISABLED WITH REASON,No,ErpActionBar,Retained the disabled state because custom role creation requires role governance approval.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Visible reason is shown in the list action bar.
ACT-0003,Platform,UserManagementPage,/platform/users,/src/web/src/pages/AdminPages.tsx,Export,export,working,WORKING,Yes,ErpActionBar,Wired user directory export to client-side CSV for the scoped visible list.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Export uses the currently filtered user directory.
ACT-0004,Platform,RolePermissionMatrixPage,/platform/roles,/src/web/src/pages/AdminPages.tsx,Export matrix,export,working,WORKING,Yes,ErpActionBar,Wired role matrix export to client-side CSV for the scoped visible matrix.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Export matrix uses the currently filtered role permission list.
ACT-0005,Platform,UserManagementPage,/platform/users,/src/web/src/pages/AdminPages.tsx,Invite user,invite,disabled,DISABLED WITH REASON,No,ErpActionBar,Retained the disabled state because user invitations require the approved access workflow.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Visible reason is shown in the list action bar.
ACT-0006,Platform,UserManagementPage,/platform/users,/src/web/src/pages/AdminPages.tsx,Reset access,reset,disabled,DISABLED WITH REASON,No,ErpActionBar + ErpModalWorkspace,Retained the disabled state because access reset requires security approval.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Visible reason is shown in the centered user workspace.
ACT-0007,Platform,UserManagementPage,/platform/users,/src/web/src/pages/AdminPages.tsx,Save access policy,save,disabled,DISABLED WITH REASON,No,ErpActionBar + ErpModalWorkspace,Retained the disabled state because access policy changes require the approved admin workflow.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Visible reason is shown in the centered user workspace.
ACT-0008,Platform,RolePermissionMatrixPage,/platform/roles,/src/web/src/pages/AdminPages.tsx,Save template,save,disabled,DISABLED WITH REASON,No,ErpActionBar + ErpModalWorkspace,Retained the disabled state because role template changes require role governance approval.,DISABLED WITH REASON,PASS,Verify visible state matches behavior and business-safe wording,Visible reason is shown in the centered role workspace.
ACT-0009,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New currency,new,working,WORKING,Yes,ErpActionBar,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
ACT-0010,Unknown,PriceListMasterPage,,/src/web/src/pages/CommercialMasterPages.tsx,New discount scheme,new,working,WORKING,Yes,ErpActionBar,Verified during action truth scan.,WORKING,PASS,Verify visible state matches behavior and business-safe wording,Global static scan plus shared component enforcement.
