"Area","RouteOrObject","Status","Evidence","RemainingDependency"
"Purchase Requisitions","/procurement/requisitions","COMPLETE","New PR draft opens centered workspace; live save and approval use procurement APIs; governed item/UOM/quantity/date controls are enforced.","PR conversion to RFQ/PO remains separate future workflow."
"Purchase Orders","/procurement/purchase-orders","COMPLETE","New PO draft opens centered workspace; live save and approval use procurement APIs; supplier/item/UOM/quantity/date controls are governed.","PO receiving/GRN remains blocked until receiving module exists."
"Subcontract Plans","/procurement/subcontract-plan","COMPLETE","New outside-processing plan opens centered workspace; live save and approval use subcontract APIs; supplier/work-order/operation selectors are governed.","Receive-back posting remains blocked until GRN/receiving workflow exists."
"RFQ Creation","/procurement/rfqs","BLOCKED","No RFQ table/API/route exists and implementing it would be a new procurement module beyond the current implemented scope.","Product owner must approve RFQ module and data model."
"Supplier Quote Entry","/procurement/supplier-quotes","BLOCKED","No supplier quotation table/API/route exists.","Product owner must approve RFQ/quote comparison module."
"Quote Comparison","/procurement/quote-comparison","BLOCKED","No comparable supplier quote data source exists.","RFQ and supplier quote APIs are required first."
"GRN / PO Receipt","/procurement/grn","BLOCKED","PO receiving action is visible only as disabled with reason; no GRN table/API/route exists.","Receiving/GRN workflow and inventory posting design required."
"Purchase Invoice / 3-Way Match","/procurement/purchase-invoices","BLOCKED","Purchase invoice and payment schedule cross into AP/full accounting, which remains outside V1 guardrails.","Product owner scope change required after WS08 accounting decision."
"Payment Schedule","/procurement/payment-schedules","BLOCKED","Vendor payment scheduling is AP/accounting scope and not introduced.","Product owner scope change required."
"Vendor Returns / Claims","/procurement/vendor-returns","BLOCKED","No vendor return/claim table/API/route exists; not introduced as speculative module.","Return-to-vendor workflow and inventory/quality claim model required."
"Landed Cost","/procurement/landed-cost","BLOCKED","Landed cost affects inventory valuation/accounting and is not introduced in V1.","Inventory valuation and accounting scope decision required."
