"Domain","Screen","Route","PageFile","HasLinesArray","CurrentLineUIPattern","HasCompactGrid","HasAddLine","HasRemoveLine","SavesAllLines","ReopensAllLines","TotalsFromAllLines","CardLayoutRemaining","AntiPatternsFound","FixApplied","RemainingBlocker","Status"
"Commercial","Quote","/sales/quotes","src/web/src/pages/CommercialPlanningPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","Yes","No","None","Converted quote desktop line entry to ErpTransactionLineGrid and totals to ErpTransactionTotalsPanel.","","Complete"
"Commercial","Sales Order","/sales/orders","src/web/src/pages/CommercialPlanningPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A - pricing blocked by quote/price-list contract","No","None","Converted sales order desktop line entry to ErpTransactionLineGrid.","Pricing fields remain disabled with reason until accepted quote or price-list workflow drives them.","Complete"
"Commercial","Blanket Order","/sales/blanket-orders","src/web/src/pages/CommercialPlanningPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted schedule line editor to ErpTransactionLineGrid.","","Complete"
"Commercial","Demand Forecast","/sales/forecasts","src/web/src/pages/CommercialPlanningPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted forecast bucket editor to ErpTransactionLineGrid.","","Complete"
"Commercial","ATP / Order Promise","/sales/available-to-promise","src/web/src/pages/CommercialPlanningPages.tsx","No editable lines","Simulation workspace","N/A","N/A","N/A","N/A","N/A","N/A","No","None","No card-per-line transaction entry present; ATP updates selected sales order promise date only.","ATP does not expose editable line entry in current implementation.","Complete"
"Planning","MPS","/planning/mps","src/web/src/pages/CommercialPlanningPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted MPS schedule editor to ErpTransactionLineGrid while retaining list preview grid.","","Complete"
"Procure-to-Pay","Purchase Requisition","/procurement/requisitions","src/web/src/pages/ProcurementPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted PR line editor to ErpTransactionLineGrid.","","Complete"
"Procure-to-Pay","RFQ","/procurement/rfqs","src/web/src/pages/ProcurementPages.tsx","Yes","Compact editable grid","Yes","Yes","Yes","Yes","Yes","N/A","No","None","Converted RFQ material/service line editor to ErpTransactionLineGrid.","Supplier invite rows remain card/form controls because they are not line-item transaction rows.","Complete"
"Procure-to-Pay","Supplier Quotation","/procurement/supplier-quotes","src/web/src/pages/ProcurementPages.tsx","Yes","Compact editable grid","Yes","N/A - RFQ-derived lines","N/A - RFQ-derived lines","Yes","Yes","Yes","No","None","Converted supplier quotation pricing lines to ErpTransactionLineGrid.","Supplier quotation line count is sourced from selected RFQ; no manual Add/Remove action is exposed.","Complete"
"Procure-to-Pay","Quote Comparison","/procurement/quote-comparison","src/web/src/pages/ProcurementPages.tsx","Read-only comparison lines","DataGrid","Yes","N/A","N/A","N/A","N/A","Yes","No","None","Confirmed comparison uses DataGrid and selection actions are truthful.","Comparison is read-only; selected quote conversion owns PO creation.","Complete"
