"DecisionId","Area","Capability","CurrentV1Position","DecisionNeeded","Options","RecommendedDecision","Priority","DecisionOwner","Blocks","SourceEvidence"
"SC-001","Finance","GL / AP / AR / accounting close","Excluded from V1","Decide whether to keep finance excluded or expand scope.","Keep out of V1; add post-pilot finance roadmap; approve only if accounting is now a sales commitment.","Keep excluded for V1.","P3","Product Owner","Finance module delivery","WS08-output.md; project V1 exclusions"
"SC-002","Procurement / Finance","Purchase invoice, 3-way match, AP payment schedule","Partly excluded because AP is out of V1","Decide whether invoice and payment workflows belong in V1 procurement.","Keep AP out; complete GRN/receipt first; add invoice match only if pilot requires it.","Defer AP-dependent work until after receiving flow is complete.","P2","Product Owner","Full P2P closeout","WS09-output.md; WS08-output.md"
"SC-003","Inventory / Finance","Landed cost and inventory valuation","Not implemented; accounting-dependent","Decide valuation and costing boundary for V1.","Manual/reference costing only; landed cost backlog; full valuation with finance later.","Defer full landed cost and valuation.","P2","Product Owner","Valuation, costing, and finance integration","WS09-output.md; WS08-output.md"
"SC-004","Service","Service, warranty, AMC, installed base","Excluded from V1","Decide whether service module is in manufacturing V1 or later product line.","Keep excluded; roadmap separately after manufacturing pilot.","Keep excluded for V1.","P3","Product Owner","Service module delivery","WS10-output.md; project V1 exclusions"
"SC-005","Mobile","Native camera, barcode, offline sync, media capture","Partially in V1 but incomplete","Decide device support, testing harness, and minimum pilot capability.","Approve focused pilot device path for barcode/camera/offline sync; defer advanced voice/media unless required.","Approve focused mobile execution closure.","P0","Product Owner / Engineering Lead","Pilot mobile execution","WS07-output.md; WS11-output.md"
"SC-006","Integrations","Email, WhatsApp, CRM, external providers","Foundation/disabled only","Decide provider and CRM scope for pilot.","Pick one email provider for identity/notifications; keep WhatsApp/CRM optional unless demo commitment exists.","Approve one provider path; defer broad CRM/WhatsApp.","P1","Product Owner","External delivery, customer communications","WS02-output.md; WS07-output.md"
"SC-007","AI","Operational AI writeback and autonomous actions","Not implemented","Decide if AI can write operational data or stays read-only.","Keep AI read-only/help/reporting until approval and audit model is defined.","Keep writeback out of V1.","P2","Product Owner / Security Owner","AI operational automation","WS07-output.md"
"SC-008","Reporting","Report builder, dashboard builder, saved-view publishing","Catalog/report foundation exists; builders incomplete","Decide builder scope versus curated reports.","Ship curated reports for pilot; backlog report/dashboard builders.","Defer builders unless customer contract requires them.","P1","Product Owner","Self-service reporting expectations","WS07-output.md"
"SC-009","Extensibility","Custom screen/table builder and broad UDF panels","UDF foundation exists; broad customization incomplete","Decide whether V1 needs field-level UDF only or custom app builder.","Use UDF fields on priority screens only; backlog custom screen/table builder.","Defer custom screen/table builder.","P2","Product Owner","Customization roadmap","WS02-output.md"
"SC-010","Logistics","Carrier, e-way, shipment labels, proof integration","Partially implemented; country/carrier depth incomplete","Decide pilot country and logistics automation depth.","Implement baseline pack/label/proof; defer carrier/e-way until jurisdiction/provider is chosen.","Approve baseline logistics only for V1.","P1","Product Owner","Dispatch automation and compliance","WS06-output.md"
"SC-011","Procurement","RFQ, supplier quote, quote comparison, award","Missing from current P2P slice","Decide if sourcing is required for pilot or later procurement phase.","If procurement demo requires sourcing, add RFQ/quote; otherwise complete GRN/receipt first.","Defer sourcing until after receipt flow unless pilot requires it.","P1","Product Owner","Full procurement workflow","WS09-output.md"
"SC-012","Procurement","Vendor returns and supplier claims","Missing","Decide whether vendor returns/claims are pilot-critical.","Keep backlog unless pilot includes supplier quality/returns scenario.","Defer for V1 unless required by pilot script.","P2","Product Owner","Procurement reverse logistics","WS09-output.md"
